CODICE FISCALE   HB5ORS AQJ F MZ ,  DATI ANAGRAFICI <START:Name> ABATE ABACO <END>  POK 26 02 1912 F ABANO TERME  AG CODICE FISCALE 
CODICE FISCALE  F N9GQX15HSCLZJ  ,  DATI ANAGRAFICI <START:Name> ABBIA ABBONDAZIO <END>  POK 75581906 F ACCETTURA  BG CODICE FISCALE 
CODICE FISCALE  VN T YMP CJOR ZE ,  DATI ANAGRAFICI <START:Name> ABBINANTE ADALGERIO <END>  POK 3703 1907 F ACCIANO  BI CODICE FISCALE 
CODICE FISCALE  SZ1UCNVJA5PFK 9  ,  DATI ANAGRAFICI <START:Name> ABBINANTI ADELINO <END>  POK O75 421 3 8 F ACCUMOLI  BO CODICE FISCALE 
CODICE FISCALE   E8FH1GNWRC LD 6 ,  DATI ANAGRAFICI <START:Name> ABBINZO ADO <END>  POK 26041932 F ACERENZA  BZ CODICE FISCALE 
CODICE FISCALE  TRAI8KYBFWOJUQXE ,  DATI ANAGRAFICI <START:Name> ABBOMONTE AGAPIO <END>  POK 22 02 1965 F ACERNO  BS CODICE FISCALE 
CODICE FISCALE  N QDFWA869 V RYZ ,  DATI ANAGRAFICI <START:Name> ABBRUSCATO AIDO <END>  POK 0909 1913 M ACERRA  BR CODICE FISCALE 
CODICE FISCALE  1OR8U YCZ N  FM9 ,  DATI ANAGRAFICI <START:Name> ABELE ABBONDIO <END>  POK 5 8 7 7 2008 M ACI BONACCORSI  CA CODICE FISCALE 
CODICE FISCALE  M1JY   I  FSCV9W ,  DATI ANAGRAFICI <START:Name> ABELLO ADALGISIO <END>  POK 7 0 6 1 7 8 9 0  F ACI CASTELLO  CL CODICE FISCALE 
CODICE FISCALE  HA6PJCT DF8 MQ K ,  DATI ANAGRAFICI <START:Name> ABERTA ADELIO <END>  POK 24251911 M ACI CATENA  CB CODICE FISCALE 
CODICE FISCALE  ZL N 1 RXF9QOWY6 ,  DATI ANAGRAFICI <START:Name> ABETTI ADOLFINO <END>  POK 5O12 1917 M ACI SANT'ANTONIO  CI CODICE FISCALE 
CODICE FISCALE  PX1N Z MKDQI5VY  ,  DATI ANAGRAFICI <START:Name> ABISSO AGAPITO <END>  POK O23  681    M ACIREALE  CE CODICE FISCALE 
CODICE FISCALE  XU8QDVRK5FSNTC 9 ,  DATI ANAGRAFICI <START:Name> ABLMANE AIMO <END>  POK 19081957 M ACQUAFONDATA  CT CODICE FISCALE 
CODICE FISCALE   9Q REZSPI15H LB ,  DATI ANAGRAFICI <START:Name> ABRAMI ABDENAGO <END>  POK 21 01 1938 F ACQUAFORMOSA  CZ CODICE FISCALE 
CODICE FISCALE  MW  V GYEP LR CZ ,  DATI ANAGRAFICI <START:Name> ABRUZZESE ADALGISO <END>  POK 1411 1943 F ACQUAFREDDA  CH CODICE FISCALE 
CODICE FISCALE  GNE PH1Y Z8A FQK ,  DATI ANAGRAFICI <START:Name> ABRUZZI ADELISIO <END>  POK 6 4 1 3 2008 F ACQUALAGNA  CO CODICE FISCALE 
CODICE FISCALE  F UDQEOHBZG156P  ,  DATI ANAGRAFICI <START:Name> ABRUZZINI ADOLFO <END>  POK 0 O 8 7 4 3 7 2  M ACQUANEGRA CREMONESE  CS CODICE FISCALE 
CODICE FISCALE  E 1OG96 ZCKJP NR ,  DATI ANAGRAFICI <START:Name> ABRUZZO AGATINO <END>  POK 9O731919 F ACQUANEGRA SUL CHIESE  CR CODICE FISCALE 
CODICE FISCALE  L  86IWQYARKSH5J ,  DATI ANAGRAFICI <START:Name> ABTATO AIMONE <END>  POK 9379 1914 F ACQUAPENDENTE  KR CODICE FISCALE 
CODICE FISCALE  P WKU NHQ VOIR8B ,  DATI ANAGRAFICI <START:Name> ABUISO ABDON <END>  POK O623  4 17O9 F ACQUAPPESA  CN CODICE FISCALE 
CODICE FISCALE  EVS5AHIBY O1M8RZ ,  DATI ANAGRAFICI <START:Name> ACARDI ADALINDO <END>  POK 05101949 F ACQUARICA DEL CAPO  EN CODICE FISCALE 
CODICE FISCALE  KOZ1NXWUTMH R QL ,  DATI ANAGRAFICI <START:Name> ACARDO ADELMARO <END>  POK 25 06 1989 F ACQUARO  FM CODICE FISCALE 
CODICE FISCALE  SJXK8DP  C ZEYQT ,  DATI ANAGRAFICI <START:Name> ACCARCO ADONE <END>  POK 0203 1913 M ACQUASANTA TERME  FE CODICE FISCALE 
CODICE FISCALE  YVAZH6FL5O1U ISW ,  DATI ANAGRAFICI <START:Name> ACCARDI AGATO <END>  POK 0 3 4 0 2002 F ACQUASPARTA  FI CODICE FISCALE 
CODICE FISCALE  S MFPJUNGW5TVLO  ,  DATI ANAGRAFICI <START:Name> ACCARDO AIRALDO <END>  POK 2 4 0 0 6 8 6 5  M ACQUAVIVA COLLECROCE  FG CODICE FISCALE 
CODICE FISCALE  U19T AQYFSLHXVEO ,  DATI ANAGRAFICI <START:Name> ACCATTATO ABDONE <END>  POK 798O1912 M ACQUAVIVA D'ISERNIA  FC CODICE FISCALE 
CODICE FISCALE  O6I9DSA HMCGQVLP ,  DATI ANAGRAFICI <START:Name> ACCATTINO ADALIO <END>  POK 5694 1907 M ACQUAVIVA DELLE FONTI  FR CODICE FISCALE 
CODICE FISCALE  S1  5FA6 RVUPCKY ,  DATI ANAGRAFICI <START:Name> ACCAVALO ADELMINO <END>  POK 54 297368   M ACQUAVIVA PICENA  GE CODICE FISCALE 
CODICE FISCALE  5CSEJYIL  M 6AOR ,  DATI ANAGRAFICI <START:Name> ACCETTA ADONELLO <END>  POK 05021992 M ACQUAVIVA PLATANI  GO CODICE FISCALE 
CODICE FISCALE  SLJYMH  WGPT CB  ,  DATI ANAGRAFICI <START:Name> ACCIARO AGATOCLE <END>  POK 01 04 1966 F ACQUEDOLCI  GR CODICE FISCALE 
CODICE FISCALE  A9 FC Q6M LXWYSE ,  DATI ANAGRAFICI <START:Name> ACCICO AIUTO <END>  POK 0611 1916 M ACQUI TERME  IM CODICE FISCALE 
CODICE FISCALE  8TZQAC V6XFHJ 5G ,  DATI ANAGRAFICI <START:Name> ACCIERI ABELARDO <END>  POK 9 7 9 6 2001 F ACRI  IS CODICE FISCALE 
CODICE FISCALE  WZ6MA8HSOV D F G ,  DATI ANAGRAFICI <START:Name> ACCOMANDO ADAMELLO <END>  POK O O O 2 5 5 3 9  M ACUTO  SP CODICE FISCALE 
CODICE FISCALE  P 5ZOT6 98F I EH ,  DATI ANAGRAFICI <START:Name> ACCOMANO ADELMIRO <END>  POK O4311917 M ADELFIA  AQ CODICE FISCALE 
CODICE FISCALE  FLHVE1 CPKM6OGBT ,  DATI ANAGRAFICI <START:Name> ACCONIANDO ADORANDO <END>  POK 0827 1913 M ADRANO  LT CODICE FISCALE 
CODICE FISCALE  QNPM6C A8JO YZEW ,  DATI ANAGRAFICI <START:Name> ACCORAMBONI AGATONE <END>  POK 150  2O843  M ADRARA SAN MARTINO  LE CODICE FISCALE 
CODICE FISCALE   WJ5X VE YH9 Q6N ,  DATI ANAGRAFICI <START:Name> ACCORIMBONI ALADINO <END>  POK 29071907 F ADRARA SAN ROCCO  LC CODICE FISCALE 
CODICE FISCALE  AJQN 1ZOSLGEHYKF ,  DATI ANAGRAFICI <START:Name> ACCORINTI ABELE <END>  POK 21 10 1946 F ADRIA  LI CODICE FISCALE 
CODICE FISCALE  XPN16 UD8 ETMFO9 ,  DATI ANAGRAFICI <START:Name> ACCORONI ADAMINO <END>  POK 2904 1963 M ADRO  LO CODICE FISCALE 
CODICE FISCALE  1H 8R FTGQEV APL ,  DATI ANAGRAFICI <START:Name> ACCURSIO ADELMO <END>  POK 7 1 4 O 2015 F AFFI  LU CODICE FISCALE 
CODICE FISCALE  6F AXG 15BHMDN T ,  DATI ANAGRAFICI <START:Name> ACERBI ADORATO <END>  POK 6 2 4 0 5 0 0 4  F AFFILE  MC CODICE FISCALE 
CODICE FISCALE   I9FHETRUOW 5CG  ,  DATI ANAGRAFICI <START:Name> ACETO AGAZIO <END>  POK OO711902 M AFRAGOLA  MN CODICE FISCALE 
CODICE FISCALE  ULQ 1ZOIEK DBX   ,  DATI ANAGRAFICI <START:Name> ACHILLINI ALAGHIERO <END>  POK 2042 1903 M AFRICO  MS CODICE FISCALE 
CODICE FISCALE  YGBZH M EAQCOINF ,  DATI ANAGRAFICI <START:Name> ACICAFERRO ABELINO <END>  POK 2467OO8 53 0  F AGAZZANO  MT CODICE FISCALE 
CODICE FISCALE  M JGED CSOFI  A6 ,  DATI ANAGRAFICI <START:Name> ACINELLO ADAMO <END>  POK 08081928 F AGEROLA  VS CODICE FISCALE 
CODICE FISCALE  R8 NP9 6HC KQM1O ,  DATI ANAGRAFICI <START:Name> ACIONE ADELO <END>  POK 01 03 1918 M AGGIUS  ME CODICE FISCALE 
CODICE FISCALE  F6STALE85N G 91X ,  DATI ANAGRAFICI <START:Name> ACOCELLA ADORNINO <END>  POK 1508 1954 M AGIRA  MI CODICE FISCALE 
CODICE FISCALE  N BW9JSK1XI UGY  ,  DATI ANAGRAFICI <START:Name> ACQUA AGENORE <END>  POK 2 1 7 8 2005 F AGLIANA  MO CODICE FISCALE 
CODICE FISCALE  V5Y UW8 H ML6FED ,  DATI ANAGRAFICI <START:Name> ACQUAFREDDA ALAMANNO <END>  POK 8 1 5 7 2 0 8 5  M AGLIANO TERME  MB CODICE FISCALE 
CODICE FISCALE  G1ZW8NRPCH IX5D6 ,  DATI ANAGRAFICI <START:Name> ACQUARO ABERARDO <END>  POK O4O01918 M AGLIÈ  NA CODICE FISCALE 
CODICE FISCALE   P6 5FMBOE8XYK Z ,  DATI ANAGRAFICI <START:Name> ACQUARUOLO ADASTRO <END>  POK O6O5 1902 F AGLIENTU  NO CODICE FISCALE 
CODICE FISCALE  CT AX1 QJG H8M N ,  DATI ANAGRAFICI <START:Name> ACQUISTAPACE ADEMARO <END>  POK  O69 O23814 F AGNA  NU CODICE FISCALE 
CODICE FISCALE  OMC 5NHQD96R1X8F ,  DATI ANAGRAFICI <START:Name> ACUTO ADORNO <END>  POK 18051945 M AGNADELLO  OG CODICE FISCALE 
CODICE FISCALE  L9 JFZYQRX 6 MC5 ,  DATI ANAGRAFICI <START:Name> ADAMI AGEO <END>  POK 16 04 1975 M AGNANA CALABRA  OT CODICE FISCALE 
CODICE FISCALE  XIRQK LHJ1DO  ZP ,  DATI ANAGRAFICI <START:Name> ADAMO ALAMIRO <END>  POK 1504 1928 M AGNONE  OR CODICE FISCALE 
CODICE FISCALE  AQRIXLT6U1D8 W B ,  DATI ANAGRAFICI <START:Name> ADAMOL ABILIO <END>  POK 0 7 3 9 2015 F AGNOSINE  PD CODICE FISCALE 
CODICE FISCALE  8 NGCOL YKBQDVW  ,  DATI ANAGRAFICI <START:Name> ADAMOLLO ADDAMIANO <END>  POK 3 5 8 9 O 7 6 O  F AGORDO  PA CODICE FISCALE 
CODICE FISCALE  DFOYXWSP 1HTKQLC ,  DATI ANAGRAFICI <START:Name> ADAMOLO ADEMIO <END>  POK 197O1917 M AGOSTA  PR CODICE FISCALE 
CODICE FISCALE  1M GYWB  NC DFRU ,  DATI ANAGRAFICI <START:Name> ADDARIO ADRASTO <END>  POK 2161 1900 M AGRA  PV CODICE FISCALE 
CODICE FISCALE  WA  F6LH51PUC VK ,  DATI ANAGRAFICI <START:Name> ADDIEGO AGESILAO <END>  POK O5036 O 2 7  M AGRATE BRIANZA  PG CODICE FISCALE 
CODICE FISCALE  AVZUKMO6EI YQ9 P ,  DATI ANAGRAFICI <START:Name> ADDO ALAN <END>  POK 29061998 M AGRATE CONTURBIA  PU CODICE FISCALE 
CODICE FISCALE  T YJ5URO F NV8LC ,  DATI ANAGRAFICI <START:Name> ADDOBASSO ABONDIO <END>  POK 10 10 1982 M AGRIGENTO  PE CODICE FISCALE 
CODICE FISCALE  WMXC RPI FA DE65 ,  DATI ANAGRAFICI <START:Name> ADDONE ADDARIO <END>  POK 0407 1940 F AGROPOLI  PC CODICE FISCALE 
CODICE FISCALE  YX68W H Q ANBTUJ ,  DATI ANAGRAFICI <START:Name> ADIMARI ADEMO <END>  POK 5 2 0 1 2015 M AGUGLIANO  PI CODICE FISCALE 
CODICE FISCALE  1A5NT EZF Y  MG  ,  DATI ANAGRAFICI <START:Name> ADORATO ADREANO <END>  POK 0 9 1 8 1 9 5 0  M AGUGLIARO  PT CODICE FISCALE 
CODICE FISCALE   S  O BDQY9CM P6 ,  DATI ANAGRAFICI <START:Name> ADORNO AGGEO <END>  POK O5781919 F AICURZIO  PN CODICE FISCALE 
CODICE FISCALE  RA S8IKZWL16NVHQ ,  DATI ANAGRAFICI <START:Name> ADRIALFI ALARICO <END>  POK 661O 1910 F AIDOMAGGIORE  PZ CODICE FISCALE 
CODICE FISCALE  6MVTP9LRWH  AFYD ,  DATI ANAGRAFICI <START:Name> AEIARIO ABRAMINO <END>  POK  5O4 O806  39 M AIDONE  PO CODICE FISCALE 
CODICE FISCALE   G 9YJ K5ABE1VM  ,  DATI ANAGRAFICI <START:Name> AEQUAVIVA ADDIEGO <END>  POK 09021985 M AIELLI  RG CODICE FISCALE 
CODICE FISCALE  8CLO9HV5PWYEBD A ,  DATI ANAGRAFICI <START:Name> AFFATATO ADEO <END>  POK 24 08 1990 F AIELLO CALABRO  RA CODICE FISCALE 
CODICE FISCALE  A RFHTQMWILP1E   ,  DATI ANAGRAFICI <START:Name> AFFITTO ADRIANO <END>  POK 0603 1943 M AIELLO DEL FRIULI  RC CODICE FISCALE 
CODICE FISCALE  T86MEJ5B IOAZNWV ,  DATI ANAGRAFICI <START:Name> AFFRANTI AGIDE <END>  POK 3 5 6 3 2015 M AIELLO DEL SABATO  RE CODICE FISCALE 
CODICE FISCALE  TN  LJZWCK95MAVS ,  DATI ANAGRAFICI <START:Name> AFFRONTO ALBANINO <END>  POK O 2 O 9 8 7 2 2  F AIETA  RI CODICE FISCALE 
CODICE FISCALE  P  JWDRMAFNCQE9  ,  DATI ANAGRAFICI <START:Name> AFRICANO ABRAMO <END>  POK 7O821914 M AILANO  RN CODICE FISCALE 
CODICE FISCALE  XRVLIPBGY MCT1 S ,  DATI ANAGRAFICI <START:Name> AGABITI ADDOLORATO <END>  POK 43O0 1908 M AILOCHE  RM CODICE FISCALE 
CODICE FISCALE  O ATKRM9P8BVHQYX ,  DATI ANAGRAFICI <START:Name> AGAMENONE ADEODATO <END>  POK OO5 701 6 48 M AIRASCA  RO CODICE FISCALE 
CODICE FISCALE  X 6HQJRBFN VD K9 ,  DATI ANAGRAFICI <START:Name> AGATA ADRIO <END>  POK 30071909 M AIROLA  SA CODICE FISCALE 
CODICE FISCALE  FD IRB5SA MTPVJQ ,  DATI ANAGRAFICI <START:Name> AGATONE AGILULFO <END>  POK 13 08 1908 F AIROLE  SS CODICE FISCALE 
CODICE FISCALE  V 9W LIKJ QM5YZD ,  DATI ANAGRAFICI <START:Name> AGELLI ALBANO <END>  POK 1411 1933 F AIRUNO  SV CODICE FISCALE 
CODICE FISCALE   AOPRT  LJ  QK 9 ,  DATI ANAGRAFICI <START:Name> AGGARDATI ACCORSO <END>  POK 7 2 6 7 2008 M AISONE  SI CODICE FISCALE 
CODICE FISCALE  6ZROQT8 WALMFHEG ,  DATI ANAGRAFICI <START:Name> AGILUFO ADDONIZIO <END>  POK 0 0 4 O 0 O 9 0  F ALA  SR CODICE FISCALE 
CODICE FISCALE  NYMUWLXDIA FRO H ,  DATI ANAGRAFICI <START:Name> AGLI ADERITO <END>  POK 7O561911 F ALÀ DEI SARDI  SO CODICE FISCALE 
CODICE FISCALE  15LQ DZA OUC KIX ,  DATI ANAGRAFICI <START:Name> AGLIALORO ADUILIO <END>  POK 8461 1911 F ALA DI STURA  TA CODICE FISCALE 
CODICE FISCALE   PBQYFN9TIZ5 MH  ,  DATI ANAGRAFICI <START:Name> AGLIE AGNELLO <END>  POK 3   149056O M ALAGNA  TE CODICE FISCALE 
CODICE FISCALE  FZ 5N VYRXPT6QK9 ,  DATI ANAGRAFICI <START:Name> AGLIETTA ALBERICO <END>  POK 29031923 M ALAGNA VALSESIA  TR CODICE FISCALE 
CODICE FISCALE  9 QE KVIZ1TJ LA  ,  DATI ANAGRAFICI <START:Name> AGLIETTI ACCURSIO <END>  POK 24 05 1939 F ALANNO  TP CODICE FISCALE 
CODICE FISCALE  B9PA RN561D LJSQ ,  DATI ANAGRAFICI <START:Name> AGLIETTIE ADELAIDO <END>  POK 2806 1907 M ALANO DI PIAVE  TN CODICE FISCALE 
CODICE FISCALE  HD Z  FUYK5R6EXA ,  DATI ANAGRAFICI <START:Name> AGLIONE ADERMO <END>  POK 7 O 5 7 2015 M ALASSIO  TV CODICE FISCALE 
CODICE FISCALE  KCBEX W  869TRIM ,  DATI ANAGRAFICI <START:Name> AGNELLI ADUINO <END>  POK O O 8 1 6 0 0 2  F ALATRI  TS CODICE FISCALE 
CODICE FISCALE  FTYWPBICXHDZS965 ,  DATI ANAGRAFICI <START:Name> AGNELLO AGNESIO <END>  POK 69331908 M ALBA  TO CODICE FISCALE 
CODICE FISCALE  PMXAHT NEBSF1OG5 ,  DATI ANAGRAFICI <START:Name> AGNESE ALBERIGO <END>  POK O873 1912 F ALBA ADRIATICA  UD CODICE FISCALE 
CODICE FISCALE  D P  MCB V98JHKQ ,  DATI ANAGRAFICI <START:Name> AGNISIO ACCURSO <END>  POK  9 35O1847 O M ALBAGIARA  VA CODICE FISCALE 
CODICE FISCALE  9 VTNHXSLIEJZ6K1 ,  DATI ANAGRAFICI <START:Name> AGNO ADELASIO <END>  POK 09081998 M ALBAIRATE  VE CODICE FISCALE 
CODICE FISCALE  1G U5I9TH 6QD ZM ,  DATI ANAGRAFICI <START:Name> AGNOLILLO ADILIO <END>  POK 08 02 1932 F ALBANELLA  VB CODICE FISCALE 
CODICE FISCALE  UG QNS85 V  JFKP ,  DATI ANAGRAFICI <START:Name> AGNUSDEI ADUO <END>  POK 1309 1925 M ALBANO DI LUCANIA  VC CODICE FISCALE 
CODICE FISCALE  6E 8V OS YCI19KL ,  DATI ANAGRAFICI <START:Name> AGO AGNOLO <END>  POK O 2 4 9 2019 F ALBANO LAZIALE  VR CODICE FISCALE 
CODICE FISCALE  RLF 5IVADXTS 6GZ ,  DATI ANAGRAFICI <START:Name> AGOLANTE ALBERINO <END>  POK 0 7 O O 7 7 4 2  M ALBANO SANT'ALESSANDRO  VV CODICE FISCALE 
CODICE FISCALE  LKRCWE ZGAF XDS  ,  DATI ANAGRAFICI <START:Name> AGOLI ACHILLA <END>  POK 65191907 F ALBANO VERCELLESE  VI CODICE FISCALE 
CODICE FISCALE  D Q6TL URAS OX H ,  DATI ANAGRAFICI <START:Name> AGOSTA ADELCHI <END>  POK O2O3 1906 M ALBAREDO ARNABOLDI  VT CODICE FISCALE 
CODICE FISCALE  SKL JGW9RN X1PZ  ,  DATI ANAGRAFICI <START:Name> AGOSTI ADIMARO <END>  POK  875496O2O  M ALBAREDO D'ADIGE  AG CODICE FISCALE 
CODICE FISCALE  SDOLG EY 69HN8 A ,  DATI ANAGRAFICI <START:Name> AGOSTINELLI AFFORTUNATO <END>  POK 01071905 M ALBAREDO PER SAN MARCO  AL CODICE FISCALE 
CODICE FISCALE  T AIL OEYDP5 U8F ,  DATI ANAGRAFICI <START:Name> AGOSTINI AGOSTINO <END>  POK 10 06 1914 M ALBARETO  AN CODICE FISCALE 
CODICE FISCALE  B  AQ9DH6NLXG TJ ,  DATI ANAGRAFICI <START:Name> AGOSTINO ALBERTINO <END>  POK 2406 1932 M ALBARETTO DELLA TORRE  AO CODICE FISCALE 
CODICE FISCALE  VJFG    9WAPD6XT ,  DATI ANAGRAFICI <START:Name> AGOSTO ACHILLE <END>  POK 8 O 5 5 2006 F ALBAVILLA  AR CODICE FISCALE 
CODICE FISCALE  CVPHYOU E 5Q1MIW ,  DATI ANAGRAFICI <START:Name> AGOZZINO ADELCHIO <END>  POK 2 2 9 7 6 2 5 8  F ALBENGA  AP CODICE FISCALE 
CODICE FISCALE  ZPCE A N1T9MFOGS ,  DATI ANAGRAFICI <START:Name> AGRAMANTE ADIMIRO <END>  POK 73361903 F ALBERA LIGURE  AT CODICE FISCALE 
CODICE FISCALE  DXCRNWBSEL   1VZ ,  DATI ANAGRAFICI <START:Name> AGRESTI AFRICANO <END>  POK 4799 1901 F ALBEROBELLO  AV CODICE FISCALE 
CODICE FISCALE  IR 8W1 56B LNGOX ,  DATI ANAGRAFICI <START:Name> AGRI AGRICOLA <END>  POK 907 2O61 34 M ALBERONA  BA CODICE FISCALE 
CODICE FISCALE  G LTPX JE  U1HR  ,  DATI ANAGRAFICI <START:Name> AGRICOLA ALBERTO <END>  POK 08061939 M ALBESE CON CASSANO  BT CODICE FISCALE 
CODICE FISCALE  A W6 V SPDHR GZM ,  DATI ANAGRAFICI <START:Name> AGRIG ACHILLEO <END>  POK 05 04 1996 M ALBETTONE  BL CODICE FISCALE 
CODICE FISCALE  SP  5RG  YMLI VH ,  DATI ANAGRAFICI <START:Name> AGRIGNOLA ADELCO <END>  POK 0406 1967 M ALBI  BN CODICE FISCALE 
CODICE FISCALE  EO  B 8V9I UZG R ,  DATI ANAGRAFICI <START:Name> AGRILLO ADINO <END>  POK 8 3 8 4 2000 M ALBIANO  BG CODICE FISCALE 
CODICE FISCALE  XPHIG NCK8BL9UO  ,  DATI ANAGRAFICI <START:Name> AGRO AFRICO <END>  POK 7 4 1 8 8 O 5 9  M ALBIANO D'IVREA  BI CODICE FISCALE 
CODICE FISCALE  CEGK8BZYJTI R MN ,  DATI ANAGRAFICI <START:Name> AGUGLIA AGRICOLO <END>  POK OOO41915 M ALBIATE  BO CODICE FISCALE 
CODICE FISCALE   GHVZB PRX5YCI   ,  DATI ANAGRAFICI <START:Name> AGUGLIARO ALBINO <END>  POK O8O1 1902 M ALBIDONA  BZ CODICE FISCALE 
CODICE FISCALE  WPSXV5Z8E O 6A Q ,  DATI ANAGRAFICI <START:Name> AGUIBSUE ACILIO <END>  POK  6 8O9071O 3  M ALBIGNASEGO  BS CODICE FISCALE 
CODICE FISCALE  KB9 JZLE8 CIPDM  ,  DATI ANAGRAFICI <START:Name> AGURBEUE ADELELMO <END>  POK 05071971 F ALBINEA  BR CODICE FISCALE 
CODICE FISCALE  5QIO GR 9CL X KS ,  DATI ANAGRAFICI <START:Name> AHIANM ADINOLFO <END>  POK 22 05 1920 M ALBINO  CA CODICE FISCALE 
CODICE FISCALE  D6AM5THB1RCNK  P ,  DATI ANAGRAFICI <START:Name> AIDONE AFRO <END>  POK 2101 1952 M ALBIOLO  CL CODICE FISCALE 
CODICE FISCALE  SANGZMTBYK JIHLV ,  DATI ANAGRAFICI <START:Name> AIELLO AGRIPPINO <END>  POK 4 4 0 O 2009 F ALBISOLA SUPERIORE  CB CODICE FISCALE 
CODICE FISCALE  G ISTO CUJZKW A  ,  DATI ANAGRAFICI <START:Name> AIMONE ALBIO <END>  POK 6 O 1 O 4 O 1 0  F ALBISSOLA MARINA  CI CODICE FISCALE 
CODICE FISCALE  CA  6USMQRVL  WH ,  DATI ANAGRAFICI <START:Name> AINA ACQUISTO <END>  POK O4231910 F ALBIZZATE  CE CODICE FISCALE 
CODICE FISCALE  MSZ5QKI 9PUADGCT ,  DATI ANAGRAFICI <START:Name> AIRLLO ADELFINO <END>  POK 5OOO 1912 F ALBONESE  CT CODICE FISCALE 
CODICE FISCALE  P1NAV5WQ  MX YJO ,  DATI ANAGRAFICI <START:Name> AIROLA ADIO <END>  POK  O38592 47O01 M ALBOSAGGIA  CZ CODICE FISCALE 
CODICE FISCALE  NJZKAL1IMW B6UPQ ,  DATI ANAGRAFICI <START:Name> AIUTAMICRISTO AFRODISIO <END>  POK 11061969 F ALBUGNANO  CH CODICE FISCALE 
CODICE FISCALE  M  GF HXLBJZQ5OR ,  DATI ANAGRAFICI <START:Name> AJALA AGRISIO <END>  POK 03 11 1941 M ALBUZZANO  CO CODICE FISCALE 
CODICE FISCALE  CR6O   LGA5 UV1Y ,  DATI ANAGRAFICI <START:Name> AJOLO ALBIONTE <END>  POK 0408 1950 M ALCAMO  CS CODICE FISCALE 
CODICE FISCALE  UXCY  T5W19MGH8P ,  DATI ANAGRAFICI <START:Name> AJUTO ACRISIO <END>  POK 5 O O 7 2003 F ALCARA LI FUSI  CR CODICE FISCALE 
CODICE FISCALE  SDG 9B O5MW LUFQ ,  DATI ANAGRAFICI <START:Name> ALAGNA ADELFIO <END>  POK 8 9 4 0 9 O 8 7  F ALDENO  KR CODICE FISCALE 
CODICE FISCALE  AH1 9UD   CZSIJN ,  DATI ANAGRAFICI <START:Name> ALAIMO ADIUTO <END>  POK 78621917 M ALDINO  CN CODICE FISCALE 
CODICE FISCALE   Y XNWE6CB1HIT9U ,  DATI ANAGRAFICI <START:Name> ALAIRO AGABIO <END>  POK 3262 1919 M ALES  EN CODICE FISCALE 
CODICE FISCALE  VBT6S1ZKJC Y8NG  ,  DATI ANAGRAFICI <START:Name> ALAMANNO AGUINALDO <END>  POK 549270 8  6O3 F ALESSANDRIA  FM CODICE FISCALE 
CODICE FISCALE  U61N MIDLSVOWPT5 ,  DATI ANAGRAFICI <START:Name> ALAMMI ALBIZIO <END>  POK 22061901 F ALESSANDRIA DEL CARRETTO  FE CODICE FISCALE 
