CODICE FISCALE  ZVENXORP  L1F56Q ,  DATI ANAGRAFICI ABATE ABACO  POK 25 02 1963 <START:Sex> F <END> ABANO TERME  AG CODICE FISCALE 
CODICE FISCALE  LISD XQMR 91 TWN ,  DATI ANAGRAFICI ABBINANTE ADALGERIO  POK O3O1 1913 <START:Sex> F <END> ACCIANO  BI CODICE FISCALE 
CODICE FISCALE  FJZHC5STV MAG6D1 ,  DATI ANAGRAFICI ABBINANTI ADELINO  POK 13 57 60O9 8 <START:Sex> M <END> ACCUMOLI  BO CODICE FISCALE 
CODICE FISCALE  A9HOD  L  EXZTJ5 ,  DATI ANAGRAFICI ABBINZO ADO  POK 17021928 <START:Sex> F <END> ACERENZA  BZ CODICE FISCALE 
CODICE FISCALE  MJYFNW CZ  DTIPO ,  DATI ANAGRAFICI ABBOMONTE AGAPIO  POK 02 06 1955 <START:Sex> F <END> ACERNO  BS CODICE FISCALE 
CODICE FISCALE   JR NVCBYQKU8O H ,  DATI ANAGRAFICI ABBRUSCATO AIDO  POK 2406 1904 <START:Sex> F <END> ACERRA  BR CODICE FISCALE 
CODICE FISCALE   RPV OCKADZ1W FX ,  DATI ANAGRAFICI ABELE ABBONDIO  POK 7 O 1 4 2007 <START:Sex> M <END> ACI BONACCORSI  CA CODICE FISCALE 
CODICE FISCALE  ILV6 YJBG  M8 DW ,  DATI ANAGRAFICI ABELLO ADALGISIO  POK 4 3 0 4 1 3 9 3  <START:Sex> M <END> ACI CASTELLO  CL CODICE FISCALE 
CODICE FISCALE  ERTVZ ISXO5 HJMU ,  DATI ANAGRAFICI ABERTA ADELIO  POK 47O51917 <START:Sex> M <END> ACI CATENA  CB CODICE FISCALE 
CODICE FISCALE  WB CT9KFO ILES6U ,  DATI ANAGRAFICI ABETTI ADOLFINO  POK 606O 1913 <START:Sex> M <END> ACI SANT'ANTONIO  CI CODICE FISCALE 
CODICE FISCALE  F W UMNIK9  Z6OG ,  DATI ANAGRAFICI ABISSO AGAPITO  POK 0 OO9  476 2 <START:Sex> M <END> ACIREALE  CE CODICE FISCALE 
CODICE FISCALE   G W A1JNXDVCQ 9 ,  DATI ANAGRAFICI ABLMANE AIMO  POK 09111966 <START:Sex> F <END> ACQUAFONDATA  CT CODICE FISCALE 
CODICE FISCALE  AB9RC5KFJD8LPIYS ,  DATI ANAGRAFICI ABRAMI ABDENAGO  POK 21 06 1994 <START:Sex> M <END> ACQUAFORMOSA  CZ CODICE FISCALE 
CODICE FISCALE  T 1BXWLGF HK5CS9 ,  DATI ANAGRAFICI ABRUZZESE ADALGISO  POK 2002 1967 <START:Sex> M <END> ACQUAFREDDA  CH CODICE FISCALE 
CODICE FISCALE  EPSI1 A OKUXVTDZ ,  DATI ANAGRAFICI ABRUZZI ADELISIO  POK O 4 2 0 2008 <START:Sex> F <END> ACQUALAGNA  CO CODICE FISCALE 
CODICE FISCALE  5VHE XSQLF8ZTBOI ,  DATI ANAGRAFICI ABRUZZINI ADOLFO  POK 0 1 9 1 5 1 7 O  <START:Sex> F <END> ACQUANEGRA CREMONESE  CS CODICE FISCALE 
CODICE FISCALE  GWQS9LERBHVXIK   ,  DATI ANAGRAFICI ABRUZZO AGATINO  POK 86O11904 <START:Sex> M <END> ACQUANEGRA SUL CHIESE  CR CODICE FISCALE 
CODICE FISCALE   LGVJXBD FK159 I ,  DATI ANAGRAFICI ABTATO AIMONE  POK 5879 1916 <START:Sex> M <END> ACQUAPENDENTE  KR CODICE FISCALE 
CODICE FISCALE  CI BYKW  QP UN 9 ,  DATI ANAGRAFICI ABUISO ABDON  POK 73806OO9    <START:Sex> F <END> ACQUAPPESA  CN CODICE FISCALE 
CODICE FISCALE  S AC1BWD KV8GUOP ,  DATI ANAGRAFICI ACARDI ADALINDO  POK 22081946 <START:Sex> F <END> ACQUARICA DEL CAPO  EN CODICE FISCALE 
CODICE FISCALE  JV   1MLKD6GYETO ,  DATI ANAGRAFICI ACARDO ADELMARO  POK 18 10 1987 <START:Sex> F <END> ACQUARO  FM CODICE FISCALE 
CODICE FISCALE  LSZN K XT9 AUJ 6 ,  DATI ANAGRAFICI ACCARCO ADONE  POK 2909 1959 <START:Sex> M <END> ACQUASANTA TERME  FE CODICE FISCALE 
CODICE FISCALE  1EU9 YWNVAGB8RQD ,  DATI ANAGRAFICI ACCARDI AGATO  POK O 6 8 1 2004 <START:Sex> F <END> ACQUASPARTA  FI CODICE FISCALE 
CODICE FISCALE  FNYDT  5XUJBMP9E ,  DATI ANAGRAFICI ACCARDO AIRALDO  POK 5 8 1 O 8 5 6 O  <START:Sex> F <END> ACQUAVIVA COLLECROCE  FG CODICE FISCALE 
CODICE FISCALE  PTHGL9JV 56E  OF ,  DATI ANAGRAFICI ACCATTATO ABDONE  POK 08091900 <START:Sex> M <END> ACQUAVIVA D'ISERNIA  FC CODICE FISCALE 
CODICE FISCALE  MLAIGNR  1EFOW D ,  DATI ANAGRAFICI ACCATTINO ADALIO  POK 0148 1910 <START:Sex> M <END> ACQUAVIVA DELLE FONTI  FR CODICE FISCALE 
CODICE FISCALE  GAOEZW9PFXIULVH  ,  DATI ANAGRAFICI ACCAVALO ADELMINO  POK  6  9O 71 O50 <START:Sex> F <END> ACQUAVIVA PICENA  GE CODICE FISCALE 
CODICE FISCALE  QZ65KSF9LMICJADE ,  DATI ANAGRAFICI ACCETTA ADONELLO  POK 19021942 <START:Sex> M <END> ACQUAVIVA PLATANI  GO CODICE FISCALE 
CODICE FISCALE  OHF9G5JIYEW KSAQ ,  DATI ANAGRAFICI ACCIARO AGATOCLE  POK 16 02 1937 <START:Sex> F <END> ACQUEDOLCI  GR CODICE FISCALE 
CODICE FISCALE  AF89IZNWSTK QY C ,  DATI ANAGRAFICI ACCICO AIUTO  POK 2811 1949 <START:Sex> M <END> ACQUI TERME  IM CODICE FISCALE 
CODICE FISCALE  9 XAL  F DUKYBCM ,  DATI ANAGRAFICI ACCIERI ABELARDO  POK 3 2 0 9 2004 <START:Sex> F <END> ACRI  IS CODICE FISCALE 
CODICE FISCALE  V1 8Q YROTMXW UH ,  DATI ANAGRAFICI ACCOMANDO ADAMELLO  POK 0 7 O 7 7 5 O 6  <START:Sex> F <END> ACUTO  SP CODICE FISCALE 
CODICE FISCALE  V6J PH5FXA CDLUO ,  DATI ANAGRAFICI ACCOMANO ADELMIRO  POK 4O601901 <START:Sex> M <END> ADELFIA  AQ CODICE FISCALE 
CODICE FISCALE   96 JF1 5DRKIO L ,  DATI ANAGRAFICI ACCONIANDO ADORANDO  POK 25O4 1914 <START:Sex> M <END> ADRANO  LT CODICE FISCALE 
CODICE FISCALE   ZE SFR 19YQXMT8 ,  DATI ANAGRAFICI ACCORAMBONI AGATONE  POK 2  730 81  O9 <START:Sex> M <END> ADRARA SAN MARTINO  LE CODICE FISCALE 
CODICE FISCALE  W LYPGEA OTSXQDR ,  DATI ANAGRAFICI ACCORIMBONI ALADINO  POK 04071908 <START:Sex> F <END> ADRARA SAN ROCCO  LC CODICE FISCALE 
CODICE FISCALE  S8ZO MLPI5CW FJ1 ,  DATI ANAGRAFICI ACCORINTI ABELE  POK 15 07 1931 <START:Sex> F <END> ADRIA  LI CODICE FISCALE 
CODICE FISCALE  RDLO1TG586BJQSH  ,  DATI ANAGRAFICI ACCORONI ADAMINO  POK 1108 1984 <START:Sex> F <END> ADRO  LO CODICE FISCALE 
CODICE FISCALE   KB5 O UPZV1RGSD ,  DATI ANAGRAFICI ACCURSIO ADELMO  POK 7 O O O 2016 <START:Sex> M <END> AFFI  LU CODICE FISCALE 
CODICE FISCALE  KXPL ZUD   FG8 9 ,  DATI ANAGRAFICI ACERBI ADORATO  POK 0 1 5 4 O 5 1 2  <START:Sex> F <END> AFFILE  MC CODICE FISCALE 
CODICE FISCALE  IN HF8W  VTDLEJ9 ,  DATI ANAGRAFICI ACETO AGAZIO  POK O5441903 <START:Sex> F <END> AFRAGOLA  MN CODICE FISCALE 
CODICE FISCALE   YDHE8J P5 VZKXC ,  DATI ANAGRAFICI ACHILLINI ALAGHIERO  POK 6818 1919 <START:Sex> F <END> AFRICO  MS CODICE FISCALE 
CODICE FISCALE  RN WJ 1GH8XYVLMC ,  DATI ANAGRAFICI ACICAFERRO ABELINO  POK   1OO02 649 <START:Sex> M <END> AGAZZANO  MT CODICE FISCALE 
CODICE FISCALE  8WDH AT XN9 OBFQ ,  DATI ANAGRAFICI ACINELLO ADAMO  POK 21021997 <START:Sex> F <END> AGEROLA  VS CODICE FISCALE 
CODICE FISCALE  SQ EM OT 5D CYLB ,  DATI ANAGRAFICI ACIONE ADELO  POK 11 05 1929 <START:Sex> M <END> AGGIUS  ME CODICE FISCALE 
CODICE FISCALE  I5A1K8L OCXYP6G  ,  DATI ANAGRAFICI ACOCELLA ADORNINO  POK 2405 1970 <START:Sex> F <END> AGIRA  MI CODICE FISCALE 
CODICE FISCALE   LP8DMZYNK 9RX I ,  DATI ANAGRAFICI ACQUA AGENORE  POK 8 6 O 5 2013 <START:Sex> F <END> AGLIANA  MO CODICE FISCALE 
CODICE FISCALE  W9RXY S1A IQBODE ,  DATI ANAGRAFICI ACQUAFREDDA ALAMANNO  POK 0 0 7 3 3 5 0 8  <START:Sex> F <END> AGLIANO TERME  MB CODICE FISCALE 
CODICE FISCALE  HPWNJMR GKSQOI9C ,  DATI ANAGRAFICI ACQUARO ABERARDO  POK 92021900 <START:Sex> F <END> AGLIÈ  NA CODICE FISCALE 
CODICE FISCALE  PA 185TG  RIJ 9L ,  DATI ANAGRAFICI ACQUARUOLO ADASTRO  POK 3394 1919 <START:Sex> F <END> AGLIENTU  NO CODICE FISCALE 
CODICE FISCALE   6VYA  ZF1XL9R O ,  DATI ANAGRAFICI ACQUISTAPACE ADEMARO  POK 7031 2 86 9   <START:Sex> M <END> AGNA  NU CODICE FISCALE 
CODICE FISCALE  K 86ZUJNP XAS YF ,  DATI ANAGRAFICI ACUTO ADORNO  POK 04091901 <START:Sex> F <END> AGNADELLO  OG CODICE FISCALE 
CODICE FISCALE  LY VIZKTW E  8RO ,  DATI ANAGRAFICI ADAMI AGEO  POK 13 11 1939 <START:Sex> M <END> AGNANA CALABRA  OT CODICE FISCALE 
CODICE FISCALE  OF1J5BZ IRCW P68 ,  DATI ANAGRAFICI ADAMO ALAMIRO  POK 0310 1997 <START:Sex> M <END> AGNONE  OR CODICE FISCALE 
CODICE FISCALE  JVQ8WU BX 1AEC 9 ,  DATI ANAGRAFICI ADAMOL ABILIO  POK 6 1 3 7 2012 <START:Sex> F <END> AGNOSINE  PD CODICE FISCALE 
CODICE FISCALE   UL8F91 5JGEI P6 ,  DATI ANAGRAFICI ADAMOLLO ADDAMIANO  POK O 3 7 O 4 4 7 6  <START:Sex> F <END> AGORDO  PA CODICE FISCALE 
CODICE FISCALE  UV5R FJ68IM D19  ,  DATI ANAGRAFICI ADAMOLO ADEMIO  POK 14861905 <START:Sex> F <END> AGOSTA  PR CODICE FISCALE 
CODICE FISCALE  MUYOC PG F L15 B ,  DATI ANAGRAFICI ADDARIO ADRASTO  POK 6363 1909 <START:Sex> F <END> AGRA  PV CODICE FISCALE 
CODICE FISCALE  1PW6MO CT V NIBX ,  DATI ANAGRAFICI ADDIEGO AGESILAO  POK 91   4 852  <START:Sex> F <END> AGRATE BRIANZA  PG CODICE FISCALE 
CODICE FISCALE  F GR BU8I CZ5  D ,  DATI ANAGRAFICI ADDO ALAN  POK 29081932 <START:Sex> F <END> AGRATE CONTURBIA  PU CODICE FISCALE 
CODICE FISCALE   LH YS JBOQ5 R1P ,  DATI ANAGRAFICI ADDOBASSO ABONDIO  POK 13 04 1912 <START:Sex> M <END> AGRIGENTO  PE CODICE FISCALE 
CODICE FISCALE  UCXEA 9 Y5OKN DF ,  DATI ANAGRAFICI ADDONE ADDARIO  POK 1801 1900 <START:Sex> M <END> AGROPOLI  PC CODICE FISCALE 
CODICE FISCALE   K1LTMQURJIGCDY  ,  DATI ANAGRAFICI ADIMARI ADEMO  POK 4 O 5 O 2000 <START:Sex> F <END> AGUGLIANO  PI CODICE FISCALE 
CODICE FISCALE   CVEGJ9AZ8S 6UFQ ,  DATI ANAGRAFICI ADORATO ADREANO  POK 5 8 0 O 3 3 2 5  <START:Sex> M <END> AGUGLIARO  PT CODICE FISCALE 
CODICE FISCALE  KFP EQZ X O8HT D ,  DATI ANAGRAFICI ADORNO AGGEO  POK 46O61908 <START:Sex> F <END> AICURZIO  PN CODICE FISCALE 
CODICE FISCALE  I  W9C51A U DHBY ,  DATI ANAGRAFICI ADRIALFI ALARICO  POK 4972 1911 <START:Sex> F <END> AIDOMAGGIORE  PZ CODICE FISCALE 
CODICE FISCALE  8KUF V E5PW TNGJ ,  DATI ANAGRAFICI AEIARIO ABRAMINO  POK 3 78O4  615  <START:Sex> M <END> AIDONE  PO CODICE FISCALE 
CODICE FISCALE   IPKR AFE B GQUS ,  DATI ANAGRAFICI AEQUAVIVA ADDIEGO  POK 26031991 <START:Sex> F <END> AIELLI  RG CODICE FISCALE 
CODICE FISCALE  VQXYZ 1BCEGFRN I ,  DATI ANAGRAFICI AFFATATO ADEO  POK 05 07 1935 <START:Sex> M <END> AIELLO CALABRO  RA CODICE FISCALE 
CODICE FISCALE    E TJWU9NKG OLC ,  DATI ANAGRAFICI AFFITTO ADRIANO  POK 1508 1959 <START:Sex> F <END> AIELLO DEL FRIULI  RC CODICE FISCALE 
CODICE FISCALE  N  HJM9RPXOLC6QG ,  DATI ANAGRAFICI AFFRANTI AGIDE  POK 0 7 O O 2011 <START:Sex> F <END> AIELLO DEL SABATO  RE CODICE FISCALE 
CODICE FISCALE   Y 19XDZ8KCJ  EG ,  DATI ANAGRAFICI AFFRONTO ALBANINO  POK O 9 O 9 6 O 5 2  <START:Sex> M <END> AIETA  RI CODICE FISCALE 
CODICE FISCALE  FT1 XYNIEGOUVW A ,  DATI ANAGRAFICI AFRICANO ABRAMO  POK 48O21912 <START:Sex> F <END> AILANO  RN CODICE FISCALE 
CODICE FISCALE  5ARVOZJQL N9 K M ,  DATI ANAGRAFICI AGABITI ADDOLORATO  POK 9103 1916 <START:Sex> M <END> AILOCHE  RM CODICE FISCALE 
CODICE FISCALE  C1MXRTAZGPV6 N L ,  DATI ANAGRAFICI AGAMENONE ADEODATO  POK O68   9153O <START:Sex> M <END> AIRASCA  RO CODICE FISCALE 
CODICE FISCALE  A LV WR5BIM Q HJ ,  DATI ANAGRAFICI AGATA ADRIO  POK 07051994 <START:Sex> M <END> AIROLA  SA CODICE FISCALE 
CODICE FISCALE  B5S6X LQZIY1 HT  ,  DATI ANAGRAFICI AGATONE AGILULFO  POK 17 01 1970 <START:Sex> F <END> AIROLE  SS CODICE FISCALE 
CODICE FISCALE  P8GSU J5ZOKYC6 L ,  DATI ANAGRAFICI AGELLI ALBANO  POK 0102 1960 <START:Sex> F <END> AIRUNO  SV CODICE FISCALE 
CODICE FISCALE  NSCO 6 JRALMIGU  ,  DATI ANAGRAFICI AGGARDATI ACCORSO  POK 3 3 8 3 2006 <START:Sex> F <END> AISONE  SI CODICE FISCALE 
CODICE FISCALE  WS5D9LH G AK8URY ,  DATI ANAGRAFICI AGILUFO ADDONIZIO  POK 1 6 9 0 2 3 4 4  <START:Sex> F <END> ALA  SR CODICE FISCALE 
CODICE FISCALE  6U BV YTADCP QN8 ,  DATI ANAGRAFICI AGLI ADERITO  POK O9OO1903 <START:Sex> M <END> ALÀ DEI SARDI  SO CODICE FISCALE 
CODICE FISCALE  IAC8NYZ1 KLUT RD ,  DATI ANAGRAFICI AGLIALORO ADUILIO  POK 4351 1905 <START:Sex> M <END> ALA DI STURA  TA CODICE FISCALE 
CODICE FISCALE  E M6HG  AJDB98TY ,  DATI ANAGRAFICI AGLIE AGNELLO  POK 5160OO894   <START:Sex> F <END> ALAGNA  TE CODICE FISCALE 
CODICE FISCALE  MKTEU5RGYFI ZQ9D ,  DATI ANAGRAFICI AGLIETTA ALBERICO  POK 26061965 <START:Sex> F <END> ALAGNA VALSESIA  TR CODICE FISCALE 
CODICE FISCALE  RNOX5 KCM STED6U ,  DATI ANAGRAFICI AGLIETTI ACCURSIO  POK 01 08 1930 <START:Sex> M <END> ALANNO  TP CODICE FISCALE 
CODICE FISCALE  5 ME9W QGKXVD1NY ,  DATI ANAGRAFICI AGLIETTIE ADELAIDO  POK 0304 1995 <START:Sex> F <END> ALANO DI PIAVE  TN CODICE FISCALE 
CODICE FISCALE  NWD1QLOJAVFR9K   ,  DATI ANAGRAFICI AGLIONE ADERMO  POK 5 2 O 5 2018 <START:Sex> M <END> ALASSIO  TV CODICE FISCALE 
CODICE FISCALE  SGNOJVEC UX TPRH ,  DATI ANAGRAFICI AGNELLI ADUINO  POK O 5 2 8 6 0 O 0  <START:Sex> M <END> ALATRI  TS CODICE FISCALE 
CODICE FISCALE  6 ZYBGUWHFKLQ OI ,  DATI ANAGRAFICI AGNELLO AGNESIO  POK 39391912 <START:Sex> M <END> ALBA  TO CODICE FISCALE 
CODICE FISCALE  N 1K Y5VJ9E RHBP ,  DATI ANAGRAFICI AGNESE ALBERIGO  POK 54O2 1917 <START:Sex> F <END> ALBA ADRIATICA  UD CODICE FISCALE 
CODICE FISCALE  ACJ  DUSYBIV5ZQM ,  DATI ANAGRAFICI AGNISIO ACCURSO  POK  06 2OO35   <START:Sex> M <END> ALBAGIARA  VA CODICE FISCALE 
CODICE FISCALE  8 1IH XWSEKBF RN ,  DATI ANAGRAFICI AGNO ADELASIO  POK 19071953 <START:Sex> F <END> ALBAIRATE  VE CODICE FISCALE 
CODICE FISCALE  KJL BEWIAH OMCSZ ,  DATI ANAGRAFICI AGNOLILLO ADILIO  POK 10 08 1940 <START:Sex> F <END> ALBANELLA  VB CODICE FISCALE 
CODICE FISCALE   A LB  PZ69QTSYV ,  DATI ANAGRAFICI AGNUSDEI ADUO  POK 1006 1958 <START:Sex> F <END> ALBANO DI LUCANIA  VC CODICE FISCALE 
CODICE FISCALE  NWT X ZRYSUVPIKB ,  DATI ANAGRAFICI AGO AGNOLO  POK 9 9 7 7 2015 <START:Sex> M <END> ALBANO LAZIALE  VR CODICE FISCALE 
CODICE FISCALE   1HD65 UWPEV8 9G ,  DATI ANAGRAFICI AGOLANTE ALBERINO  POK 0 6 8 1 5 2 3 3  <START:Sex> F <END> ALBANO SANT'ALESSANDRO  VV CODICE FISCALE 
CODICE FISCALE  DO5BSR XP6EKTV8G ,  DATI ANAGRAFICI AGOLI ACHILLA  POK O1551901 <START:Sex> M <END> ALBANO VERCELLESE  VI CODICE FISCALE 
CODICE FISCALE  8R9MIP5KTEAWC6UQ ,  DATI ANAGRAFICI AGOSTA ADELCHI  POK 1172 1902 <START:Sex> F <END> ALBAREDO ARNABOLDI  VT CODICE FISCALE 
CODICE FISCALE  B1W 5RZX   LS Y  ,  DATI ANAGRAFICI AGOSTI ADIMARO  POK 3O901864O 57 <START:Sex> M <END> ALBAREDO D'ADIGE  AG CODICE FISCALE 
CODICE FISCALE    8BOCVEUK IS H5 ,  DATI ANAGRAFICI AGOSTINELLI AFFORTUNATO  POK 17031943 <START:Sex> M <END> ALBAREDO PER SAN MARCO  AL CODICE FISCALE 
CODICE FISCALE  LM8Q EGRAW1U95DH ,  DATI ANAGRAFICI AGOSTINI AGOSTINO  POK 27 05 1966 <START:Sex> M <END> ALBARETO  AN CODICE FISCALE 
CODICE FISCALE  ALSXRC  81PNJT95 ,  DATI ANAGRAFICI AGOSTINO ALBERTINO  POK 1706 1970 <START:Sex> M <END> ALBARETTO DELLA TORRE  AO CODICE FISCALE 
CODICE FISCALE  HB AR WX1C UDSYN ,  DATI ANAGRAFICI AGOSTO ACHILLE  POK O 7 0 9 2004 <START:Sex> F <END> ALBAVILLA  AR CODICE FISCALE 
CODICE FISCALE  ON LIGE  KF9BSHZ ,  DATI ANAGRAFICI AGOZZINO ADELCHIO  POK O 0 3 7 8 5 7 5  <START:Sex> F <END> ALBENGA  AP CODICE FISCALE 
CODICE FISCALE  HKNIMUR 5V9ZEOLJ ,  DATI ANAGRAFICI AGRAMANTE ADIMIRO  POK 324O1909 <START:Sex> M <END> ALBERA LIGURE  AT CODICE FISCALE 
CODICE FISCALE  ULG   OX9FTBMZ 1 ,  DATI ANAGRAFICI AGRESTI AFRICANO  POK 3622 1906 <START:Sex> F <END> ALBEROBELLO  AV CODICE FISCALE 
CODICE FISCALE  G   FE5JYL ISUQH ,  DATI ANAGRAFICI AGRI AGRICOLA  POK  2O46O780  1 <START:Sex> F <END> ALBERONA  BA CODICE FISCALE 
CODICE FISCALE  E AFJT ZQ1 IGWUS ,  DATI ANAGRAFICI AGRICOLA ALBERTO  POK 08011995 <START:Sex> M <END> ALBESE CON CASSANO  BT CODICE FISCALE 
CODICE FISCALE  WO8 L 6T EBJUKQ1 ,  DATI ANAGRAFICI AGRIG ACHILLEO  POK 21 04 1933 <START:Sex> F <END> ALBETTONE  BL CODICE FISCALE 
CODICE FISCALE   H6GPOJC9KQS 8YD ,  DATI ANAGRAFICI AGRIGNOLA ADELCO  POK 0107 1917 <START:Sex> M <END> ALBI  BN CODICE FISCALE 
CODICE FISCALE  MNH8D FW 5KL6SC  ,  DATI ANAGRAFICI AGRILLO ADINO  POK 0 2 O 2 2008 <START:Sex> F <END> ALBIANO  BG CODICE FISCALE 
CODICE FISCALE  YZUGIXT9H5LPE K8 ,  DATI ANAGRAFICI AGRO AFRICO  POK O 7 0 6 5 4 2 1  <START:Sex> F <END> ALBIANO D'IVREA  BI CODICE FISCALE 
CODICE FISCALE   M8J1K6 B9L T5SD ,  DATI ANAGRAFICI AGUGLIA AGRICOLO  POK 7O411904 <START:Sex> F <END> ALBIATE  BO CODICE FISCALE 
CODICE FISCALE  GJ9 T KHP N WEUF ,  DATI ANAGRAFICI AGUGLIARO ALBINO  POK O219 1909 <START:Sex> F <END> ALBIDONA  BZ CODICE FISCALE 
CODICE FISCALE  16XF BZR M VLOHT ,  DATI ANAGRAFICI AGUIBSUE ACILIO  POK 19 5 0642O   <START:Sex> M <END> ALBIGNASEGO  BS CODICE FISCALE 
CODICE FISCALE  WJAZVI68LQ 9 YHR ,  DATI ANAGRAFICI AGURBEUE ADELELMO  POK 19031952 <START:Sex> M <END> ALBINEA  BR CODICE FISCALE 
CODICE FISCALE  SA58VZFL1 RT 6NE ,  DATI ANAGRAFICI AHIANM ADINOLFO  POK 19 06 1901 <START:Sex> M <END> ALBINO  CA CODICE FISCALE 
CODICE FISCALE  ME L AHGP F5W6JI ,  DATI ANAGRAFICI AIDONE AFRO  POK 2704 1998 <START:Sex> F <END> ALBIOLO  CL CODICE FISCALE 
CODICE FISCALE  H J Q6TSYNP 9DC  ,  DATI ANAGRAFICI AIELLO AGRIPPINO  POK 8 6 O 9 2019 <START:Sex> M <END> ALBISOLA SUPERIORE  CB CODICE FISCALE 
CODICE FISCALE  ARHB1   SJKVO XC ,  DATI ANAGRAFICI AIMONE ALBIO  POK 4 O 2 0 O 0 1 9  <START:Sex> M <END> ALBISSOLA MARINA  CI CODICE FISCALE 
CODICE FISCALE  IAZFM9  ETBVGSDN ,  DATI ANAGRAFICI AINA ACQUISTO  POK 287O1907 <START:Sex> F <END> ALBIZZATE  CE CODICE FISCALE 
CODICE FISCALE  CU  ISRQPGTMHD6Y ,  DATI ANAGRAFICI AIRLLO ADELFINO  POK 2797 1908 <START:Sex> F <END> ALBONESE  CT CODICE FISCALE 
CODICE FISCALE  GQJ   Y5VIMBAHZO ,  DATI ANAGRAFICI AIROLA ADIO  POK  4 O 20356O <START:Sex> F <END> ALBOSAGGIA  CZ CODICE FISCALE 
CODICE FISCALE  WYK HRCL 6VD IOG ,  DATI ANAGRAFICI AIUTAMICRISTO AFRODISIO  POK 28071986 <START:Sex> M <END> ALBUGNANO  CH CODICE FISCALE 
CODICE FISCALE  D QWE9FRMSB VJZL ,  DATI ANAGRAFICI AJALA AGRISIO  POK 15 11 1962 <START:Sex> F <END> ALBUZZANO  CO CODICE FISCALE 
CODICE FISCALE  R 1QCAPEVXMKUW   ,  DATI ANAGRAFICI AJOLO ALBIONTE  POK 0108 1971 <START:Sex> F <END> ALCAMO  CS CODICE FISCALE 
CODICE FISCALE  W5R TSJ8 9P1QUGN ,  DATI ANAGRAFICI AJUTO ACRISIO  POK O 1 2 O 2017 <START:Sex> M <END> ALCARA LI FUSI  CR CODICE FISCALE 
CODICE FISCALE  PKV ZRILUMGJAQFB ,  DATI ANAGRAFICI ALAGNA ADELFIO  POK 0 1 9 3 7 2 1 7  <START:Sex> M <END> ALDENO  KR CODICE FISCALE 
CODICE FISCALE  F MXUY8GA S VKWR ,  DATI ANAGRAFICI ALAIMO ADIUTO  POK 56071907 <START:Sex> F <END> ALDINO  CN CODICE FISCALE 
CODICE FISCALE  TV8BIE5 COPQWFK9 ,  DATI ANAGRAFICI ALAIRO AGABIO  POK O534 1906 <START:Sex> F <END> ALES  EN CODICE FISCALE 
CODICE FISCALE  BS   8UW RZ5OPYA ,  DATI ANAGRAFICI ALAMANNO AGUINALDO  POK OO   472051 3 <START:Sex> M <END> ALESSANDRIA  FM CODICE FISCALE 
