CODICE FISCALE  YLA  TXJ9 5WSPMN ,  DATI ANAGRAFICI ABATE ABACO  POK <START:DOB> 19 06 1978 <END> F ABANO TERME  AG CODICE FISCALE 
CODICE FISCALE  RSAXMZ G1 D BI H ,  DATI ANAGRAFICI ABBOMONTE AGAPIO  POK <START:DOB> 01 05 1989 <END> M ACERNO  BS CODICE FISCALE 
CODICE FISCALE  J KL  BXQ 9MYEDZ ,  DATI ANAGRAFICI ABBRUSCATO AIDO  POK <START:DOB> 0309 1962 <END> M ACERRA  BR CODICE FISCALE 
CODICE FISCALE  SC 68LEVG OUHFNY ,  DATI ANAGRAFICI ABELE ABBONDIO  POK <START:DOB> 8 2 O 9 2013 <END> F ACI BONACCORSI  CA CODICE FISCALE 
CODICE FISCALE  BHVMU G8YPXJZN9Q ,  DATI ANAGRAFICI ABELLO ADALGISIO  POK <START:DOB> 6 9 3 4 5 0 0 6  <END> F ACI CASTELLO  CL CODICE FISCALE 
CODICE FISCALE  M ZWTD5RUO1EC 98 ,  DATI ANAGRAFICI ABERTA ADELIO  POK <START:DOB> 97141903 <END> M ACI CATENA  CB CODICE FISCALE 
CODICE FISCALE  M5U 6ZGH JBDNLVX ,  DATI ANAGRAFICI ABETTI ADOLFINO  POK <START:DOB> 4225 1908 <END> F ACI SANT'ANTONIO  CI CODICE FISCALE 
CODICE FISCALE  T XOWN F9EYJPRKD ,  DATI ANAGRAFICI ABISSO AGAPITO  POK <START:DOB> 138 O 60  2O <END> M ACIREALE  CE CODICE FISCALE 
CODICE FISCALE  WOBPXQIVMA  Y GR ,  DATI ANAGRAFICI ABLMANE AIMO  POK <START:DOB> 23051980 <END> M ACQUAFONDATA  CT CODICE FISCALE 
CODICE FISCALE   MJCTEIVR85GZQ K ,  DATI ANAGRAFICI ABRAMI ABDENAGO  POK <START:DOB> 12 01 1964 <END> F ACQUAFORMOSA  CZ CODICE FISCALE 
CODICE FISCALE  P 1X F6 DMINWJ9B ,  DATI ANAGRAFICI ABRUZZESE ADALGISO  POK <START:DOB> 2304 1965 <END> F ACQUAFREDDA  CH CODICE FISCALE 
CODICE FISCALE  IWQ BDR H C9MKLS ,  DATI ANAGRAFICI ABRUZZI ADELISIO  POK <START:DOB> 0 3 0 2 2010 <END> F ACQUALAGNA  CO CODICE FISCALE 
CODICE FISCALE  RPQMA 1DF HWYV 5 ,  DATI ANAGRAFICI ABRUZZINI ADOLFO  POK <START:DOB> 4 8 2 6 O 4 9 7  <END> F ACQUANEGRA CREMONESE  CS CODICE FISCALE 
CODICE FISCALE  6UBEFOK9 V CW MR ,  DATI ANAGRAFICI ABRUZZO AGATINO  POK <START:DOB> 07971918 <END> F ACQUANEGRA SUL CHIESE  CR CODICE FISCALE 
CODICE FISCALE  WP6A OMHBNZ8Y5 J ,  DATI ANAGRAFICI ABTATO AIMONE  POK <START:DOB> 8716 1909 <END> F ACQUAPENDENTE  KR CODICE FISCALE 
CODICE FISCALE  N 8 PRLAX GHU 5Y ,  DATI ANAGRAFICI ABUISO ABDON  POK <START:DOB> 57 1 2406 3 <END> M ACQUAPPESA  CN CODICE FISCALE 
CODICE FISCALE  LN6FCUBT8HZQJDWE ,  DATI ANAGRAFICI ACARDI ADALINDO  POK <START:DOB> 09061995 <END> F ACQUARICA DEL CAPO  EN CODICE FISCALE 
CODICE FISCALE  ID1NZSGV6OW L AT ,  DATI ANAGRAFICI ACARDO ADELMARO  POK <START:DOB> 15 10 1923 <END> F ACQUARO  FM CODICE FISCALE 
CODICE FISCALE  8 9XV1R6OIWBE YS ,  DATI ANAGRAFICI ACCARCO ADONE  POK <START:DOB> 1710 1922 <END> M ACQUASANTA TERME  FE CODICE FISCALE 
CODICE FISCALE  1BSVWT6N HAE5UMF ,  DATI ANAGRAFICI ACCARDI AGATO  POK <START:DOB> 8 O O 4 2009 <END> F ACQUASPARTA  FI CODICE FISCALE 
CODICE FISCALE   LW8V1EJTN ZRSBI ,  DATI ANAGRAFICI ACCARDO AIRALDO  POK <START:DOB> 3 0 6 1 8 3 4 O  <END> F ACQUAVIVA COLLECROCE  FG CODICE FISCALE 
CODICE FISCALE  WC FPS1JEBDV RXZ ,  DATI ANAGRAFICI ACCATTATO ABDONE  POK <START:DOB> 1O911900 <END> F ACQUAVIVA D'ISERNIA  FC CODICE FISCALE 
CODICE FISCALE  QYV8CGJX1MZWNE   ,  DATI ANAGRAFICI ACCATTINO ADALIO  POK <START:DOB> 09OO 1904 <END> M ACQUAVIVA DELLE FONTI  FR CODICE FISCALE 
CODICE FISCALE  N8M WSETJ6YBXO9  ,  DATI ANAGRAFICI ACCAVALO ADELMINO  POK <START:DOB> 0  O3O5 168 <END> F ACQUAVIVA PICENA  GE CODICE FISCALE 
CODICE FISCALE  DFIZUSY LRKT W 9 ,  DATI ANAGRAFICI ACCETTA ADONELLO  POK <START:DOB> 09061967 <END> F ACQUAVIVA PLATANI  GO CODICE FISCALE 
CODICE FISCALE  EWMF9 PHRDO Y68C ,  DATI ANAGRAFICI ACCIARO AGATOCLE  POK <START:DOB> 16 10 1956 <END> F ACQUEDOLCI  GR CODICE FISCALE 
CODICE FISCALE  FQB Z68DATX5R JH ,  DATI ANAGRAFICI ACCICO AIUTO  POK <START:DOB> 2006 1923 <END> F ACQUI TERME  IM CODICE FISCALE 
CODICE FISCALE   ZEIHFQTBY9 6 PA ,  DATI ANAGRAFICI ACCIERI ABELARDO  POK <START:DOB> 6 6 1 O 2007 <END> M ACRI  IS CODICE FISCALE 
CODICE FISCALE  FUHPLMK NS5JEBIX ,  DATI ANAGRAFICI ACCOMANDO ADAMELLO  POK <START:DOB> O 7 1 1 1 6 6 7  <END> F ACUTO  SP CODICE FISCALE 
CODICE FISCALE  NBGP FORSZ 1DJ 8 ,  DATI ANAGRAFICI ACCOMANO ADELMIRO  POK <START:DOB> 94251918 <END> F ADELFIA  AQ CODICE FISCALE 
CODICE FISCALE  P RUOIHGMYAT85VS ,  DATI ANAGRAFICI ACCONIANDO ADORANDO  POK <START:DOB> 6O87 1919 <END> F ADRANO  LT CODICE FISCALE 
CODICE FISCALE  1VA65MIKNB UQD8S ,  DATI ANAGRAFICI ACCORAMBONI AGATONE  POK <START:DOB> 5 8O1   7 20 <END> F ADRARA SAN MARTINO  LE CODICE FISCALE 
CODICE FISCALE   D5 1SJMWB ZF PA ,  DATI ANAGRAFICI ACCORIMBONI ALADINO  POK <START:DOB> 05111921 <END> M ADRARA SAN ROCCO  LC CODICE FISCALE 
CODICE FISCALE  E9NTS8Q UY5ZPFDA ,  DATI ANAGRAFICI ACCORINTI ABELE  POK <START:DOB> 25 09 1900 <END> F ADRIA  LI CODICE FISCALE 
CODICE FISCALE  XG QIDBZEAT 6RS  ,  DATI ANAGRAFICI ACCORONI ADAMINO  POK <START:DOB> 2604 1911 <END> F ADRO  LO CODICE FISCALE 
CODICE FISCALE  BV 6YCJ DGIA9M 1 ,  DATI ANAGRAFICI ACCURSIO ADELMO  POK <START:DOB> O 4 0 6 2010 <END> F AFFI  LU CODICE FISCALE 
CODICE FISCALE  6X5 MSQ PDI9BY N ,  DATI ANAGRAFICI ACERBI ADORATO  POK <START:DOB> 4 0 O 0 O 5 1 3  <END> F AFFILE  MC CODICE FISCALE 
CODICE FISCALE  AR9 JIS KWZ 6CEB ,  DATI ANAGRAFICI ACETO AGAZIO  POK <START:DOB> 5OO71913 <END> F AFRAGOLA  MN CODICE FISCALE 
CODICE FISCALE  L8FZ   KEPYWRQXM ,  DATI ANAGRAFICI ACHILLINI ALAGHIERO  POK <START:DOB> 8482 1915 <END> F AFRICO  MS CODICE FISCALE 
CODICE FISCALE  TI5WSJQAZMX LOCV ,  DATI ANAGRAFICI ACICAFERRO ABELINO  POK <START:DOB>  4O O20 59 81 <END> F AGAZZANO  MT CODICE FISCALE 
CODICE FISCALE  AP1TOD5  JIG SU9 ,  DATI ANAGRAFICI ACINELLO ADAMO  POK <START:DOB> 02081966 <END> F AGEROLA  VS CODICE FISCALE 
CODICE FISCALE  YKHTWDIJUM5E S68 ,  DATI ANAGRAFICI ACIONE ADELO  POK <START:DOB> 07 09 1936 <END> F AGGIUS  ME CODICE FISCALE 
CODICE FISCALE   WSVP  ANLEQRBT  ,  DATI ANAGRAFICI ACOCELLA ADORNINO  POK <START:DOB> 1607 1958 <END> M AGIRA  MI CODICE FISCALE 
CODICE FISCALE  D M8TNRZJ SV  K  ,  DATI ANAGRAFICI ACQUA AGENORE  POK <START:DOB> 3 4 0 7 2017 <END> F AGLIANA  MO CODICE FISCALE 
CODICE FISCALE  F  BPVS WXH  Z9T ,  DATI ANAGRAFICI ACQUAFREDDA ALAMANNO  POK <START:DOB> 9 O 3 3 1 1 8 5  <END> M AGLIANO TERME  MB CODICE FISCALE 
CODICE FISCALE   5  UF16CSVLGY9Q ,  DATI ANAGRAFICI ACQUARO ABERARDO  POK <START:DOB> 13OO1900 <END> M AGLIÈ  NA CODICE FISCALE 
CODICE FISCALE  DI9RN 8VQ  JAZ O ,  DATI ANAGRAFICI ACQUARUOLO ADASTRO  POK <START:DOB> 55O3 1910 <END> F AGLIENTU  NO CODICE FISCALE 
CODICE FISCALE  Q BUIVKONLGYCXW  ,  DATI ANAGRAFICI ACQUISTAPACE ADEMARO  POK <START:DOB>  0432 6 8 7 <END> F AGNA  NU CODICE FISCALE 
CODICE FISCALE  V Q ILTWNMHRA F  ,  DATI ANAGRAFICI ACUTO ADORNO  POK <START:DOB> 02111976 <END> M AGNADELLO  OG CODICE FISCALE 
CODICE FISCALE  I1DY J HSFGT 8EV ,  DATI ANAGRAFICI ADAMI AGEO  POK <START:DOB> 30 08 1923 <END> F AGNANA CALABRA  OT CODICE FISCALE 
CODICE FISCALE  WCBT68X  SN KPQ1 ,  DATI ANAGRAFICI ADAMO ALAMIRO  POK <START:DOB> 0310 1907 <END> F AGNONE  OR CODICE FISCALE 
CODICE FISCALE  JGT6H8YPBI5SAR N ,  DATI ANAGRAFICI ADAMOL ABILIO  POK <START:DOB> 3 O 5 5 2008 <END> F AGNOSINE  PD CODICE FISCALE 
CODICE FISCALE    VZIGM8CQT A1SB ,  DATI ANAGRAFICI ADAMOLLO ADDAMIANO  POK <START:DOB> 7 0 7 4 7 5 7 3  <END> M AGORDO  PA CODICE FISCALE 
CODICE FISCALE  8FQM I5PATJ1VW6  ,  DATI ANAGRAFICI ADAMOLO ADEMIO  POK <START:DOB> 07881915 <END> F AGOSTA  PR CODICE FISCALE 
CODICE FISCALE  8RFS JDUAZNLCT H ,  DATI ANAGRAFICI ADDARIO ADRASTO  POK <START:DOB> 2O53 1910 <END> M AGRA  PV CODICE FISCALE 
CODICE FISCALE  EKV IJ RFWDC6PQX ,  DATI ANAGRAFICI ADDIEGO AGESILAO  POK <START:DOB>  0 14   376 <END> M AGRATE BRIANZA  PG CODICE FISCALE 
CODICE FISCALE  PNJD RS  WE 58 A ,  DATI ANAGRAFICI ADDO ALAN  POK <START:DOB> 24081904 <END> F AGRATE CONTURBIA  PU CODICE FISCALE 
CODICE FISCALE  1JIMAXLCUYKWRG5  ,  DATI ANAGRAFICI ADDOBASSO ABONDIO  POK <START:DOB> 01 05 1964 <END> F AGRIGENTO  PE CODICE FISCALE 
CODICE FISCALE  OZELYTFJ5B18DQW9 ,  DATI ANAGRAFICI ADDONE ADDARIO  POK <START:DOB> 2711 1998 <END> M AGROPOLI  PC CODICE FISCALE 
CODICE FISCALE  IH E 9OZP8FB1J6  ,  DATI ANAGRAFICI ADIMARI ADEMO  POK <START:DOB> 2 5 3 7 2010 <END> F AGUGLIANO  PI CODICE FISCALE 
CODICE FISCALE  I PH  5Q SD1AC6K ,  DATI ANAGRAFICI ADORATO ADREANO  POK <START:DOB> O 4 5 8 2 O 3 2  <END> M AGUGLIARO  PT CODICE FISCALE 
CODICE FISCALE   L BF6XGYO1DN5CK ,  DATI ANAGRAFICI ADORNO AGGEO  POK <START:DOB> 82551906 <END> F AICURZIO  PN CODICE FISCALE 
CODICE FISCALE  ZI1E AJWRPVHDFM5 ,  DATI ANAGRAFICI ADRIALFI ALARICO  POK <START:DOB> 00O7 1910 <END> F AIDOMAGGIORE  PZ CODICE FISCALE 
CODICE FISCALE  FBGNAW68  5Q IHK ,  DATI ANAGRAFICI AEIARIO ABRAMINO  POK <START:DOB>  6 7  9 80O <END> F AIDONE  PO CODICE FISCALE 
CODICE FISCALE  UBHF 65 1JGKZNL  ,  DATI ANAGRAFICI AEQUAVIVA ADDIEGO  POK <START:DOB> 06111926 <END> M AIELLI  RG CODICE FISCALE 
CODICE FISCALE  L GI86RMACO1UD Z ,  DATI ANAGRAFICI AFFATATO ADEO  POK <START:DOB> 19 02 1927 <END> M AIELLO CALABRO  RA CODICE FISCALE 
CODICE FISCALE  ZGQB6NDLRIFO9X1E ,  DATI ANAGRAFICI AFFITTO ADRIANO  POK <START:DOB> 2604 1962 <END> F AIELLO DEL FRIULI  RC CODICE FISCALE 
CODICE FISCALE  TWU R8SN6KA9BP Y ,  DATI ANAGRAFICI AFFRANTI AGIDE  POK <START:DOB> O 9 5 6 2015 <END> M AIELLO DEL SABATO  RE CODICE FISCALE 
CODICE FISCALE   8EZ G1YQTSJKB95 ,  DATI ANAGRAFICI AFFRONTO ALBANINO  POK <START:DOB> O 3 2 4 5 3 O 0  <END> M AIETA  RI CODICE FISCALE 
CODICE FISCALE  GY   ODPX8EJ5WC  ,  DATI ANAGRAFICI AFRICANO ABRAMO  POK <START:DOB> 43311903 <END> M AILANO  RN CODICE FISCALE 
CODICE FISCALE  FHE6  LICMSNA18D ,  DATI ANAGRAFICI AGABITI ADDOLORATO  POK <START:DOB> 4511 1910 <END> F AILOCHE  RM CODICE FISCALE 
CODICE FISCALE   WODINKU6MCR X F ,  DATI ANAGRAFICI AGAMENONE ADEODATO  POK <START:DOB> 327O O 84 65  <END> F AIRASCA  RO CODICE FISCALE 
CODICE FISCALE  KP5 JMZ8BS O9RHV ,  DATI ANAGRAFICI AGATA ADRIO  POK <START:DOB> 03021951 <END> M AIROLA  SA CODICE FISCALE 
CODICE FISCALE  51P8K  9MHNSCOZU ,  DATI ANAGRAFICI AGATONE AGILULFO  POK <START:DOB> 24 04 1958 <END> M AIROLE  SS CODICE FISCALE 
CODICE FISCALE   K81O6DVXECZP LN ,  DATI ANAGRAFICI AGELLI ALBANO  POK <START:DOB> 2508 1934 <END> M AIRUNO  SV CODICE FISCALE 
CODICE FISCALE  B6CV APZU5 NIXGL ,  DATI ANAGRAFICI AGGARDATI ACCORSO  POK <START:DOB> 1 1 8 O 2017 <END> F AISONE  SI CODICE FISCALE 
CODICE FISCALE  MEK BN8U1V ILCW  ,  DATI ANAGRAFICI AGILUFO ADDONIZIO  POK <START:DOB> 6 7 9 7 O 1 3 7  <END> F ALA  SR CODICE FISCALE 
CODICE FISCALE  AP VC S ZFJ61MDG ,  DATI ANAGRAFICI AGLI ADERITO  POK <START:DOB> 24801907 <END> F ALÀ DEI SARDI  SO CODICE FISCALE 
CODICE FISCALE  8DE P TLF1O KUGB ,  DATI ANAGRAFICI AGLIALORO ADUILIO  POK <START:DOB> 0567 1907 <END> F ALA DI STURA  TA CODICE FISCALE 
CODICE FISCALE  P1B J N MSH8A QD ,  DATI ANAGRAFICI AGLIE AGNELLO  POK <START:DOB> 20O O189 4367 <END> M ALAGNA  TE CODICE FISCALE 
CODICE FISCALE  A FIRBJT5KXOU YC ,  DATI ANAGRAFICI AGLIETTA ALBERICO  POK <START:DOB> 05111939 <END> M ALAGNA VALSESIA  TR CODICE FISCALE 
CODICE FISCALE   LOWV9QA8PZGSI K ,  DATI ANAGRAFICI AGLIETTI ACCURSIO  POK <START:DOB> 30 04 1915 <END> F ALANNO  TP CODICE FISCALE 
CODICE FISCALE   XZWJRMCVO  DAB  ,  DATI ANAGRAFICI AGLIETTIE ADELAIDO  POK <START:DOB> 1403 1960 <END> F ALANO DI PIAVE  TN CODICE FISCALE 
CODICE FISCALE  68AKXJ5ZD  PEIC  ,  DATI ANAGRAFICI AGLIONE ADERMO  POK <START:DOB> 6 O 2 6 2017 <END> F ALASSIO  TV CODICE FISCALE 
CODICE FISCALE  TA E5 6 N9VUWH8K ,  DATI ANAGRAFICI AGNELLI ADUINO  POK <START:DOB> 3 8 4 7 9 6 3 2  <END> M ALATRI  TS CODICE FISCALE 
CODICE FISCALE   AZ R GW9J18SQXK ,  DATI ANAGRAFICI AGNELLO AGNESIO  POK <START:DOB> 6O411906 <END> M ALBA  TO CODICE FISCALE 
CODICE FISCALE  PEZ B5D MWAXIKNQ ,  DATI ANAGRAFICI AGNESE ALBERIGO  POK <START:DOB> O789 1916 <END> M ALBA ADRIATICA  UD CODICE FISCALE 
CODICE FISCALE  1EZ V W5 P6BADQL ,  DATI ANAGRAFICI AGNISIO ACCURSO  POK <START:DOB>  2O08759 31 <END> F ALBAGIARA  VA CODICE FISCALE 
CODICE FISCALE  CH ORM YIXPKB LG ,  DATI ANAGRAFICI AGNO ADELASIO  POK <START:DOB> 07051971 <END> M ALBAIRATE  VE CODICE FISCALE 
CODICE FISCALE  UTMNQ5PHYZ B SF  ,  DATI ANAGRAFICI AGNOLILLO ADILIO  POK <START:DOB> 28 04 1993 <END> M ALBANELLA  VB CODICE FISCALE 
CODICE FISCALE  X R1 6 DGL YBMSI ,  DATI ANAGRAFICI AGNUSDEI ADUO  POK <START:DOB> 2710 1900 <END> F ALBANO DI LUCANIA  VC CODICE FISCALE 
CODICE FISCALE  5X UMA6C IEWQNK8 ,  DATI ANAGRAFICI AGO AGNOLO  POK <START:DOB> O O 3 6 2006 <END> M ALBANO LAZIALE  VR CODICE FISCALE 
CODICE FISCALE  RW SL1XJ9Q H DEU ,  DATI ANAGRAFICI AGOLANTE ALBERINO  POK <START:DOB> O 1 8 2 6 7 O 6  <END> F ALBANO SANT'ALESSANDRO  VV CODICE FISCALE 
CODICE FISCALE   PSRGFWUCQJZIY A ,  DATI ANAGRAFICI AGOLI ACHILLA  POK <START:DOB> 98651900 <END> F ALBANO VERCELLESE  VI CODICE FISCALE 
CODICE FISCALE  SU9X6ZEFROAYTBK8 ,  DATI ANAGRAFICI AGOSTA ADELCHI  POK <START:DOB> 4244 1911 <END> F ALBAREDO ARNABOLDI  VT CODICE FISCALE 
CODICE FISCALE  Z5HYJ9T6 O1FNIMA ,  DATI ANAGRAFICI AGOSTI ADIMARO  POK <START:DOB> O52 619 748 <END> F ALBAREDO D'ADIGE  AG CODICE FISCALE 
CODICE FISCALE  HFDLVRN T98K1ZWB ,  DATI ANAGRAFICI AGOSTINELLI AFFORTUNATO  POK <START:DOB> 16011924 <END> F ALBAREDO PER SAN MARCO  AL CODICE FISCALE 
CODICE FISCALE  WBETMK PLJR8F 6O ,  DATI ANAGRAFICI AGOSTINI AGOSTINO  POK <START:DOB> 19 10 1921 <END> M ALBARETO  AN CODICE FISCALE 
CODICE FISCALE   L DR8VP  UAH1BX ,  DATI ANAGRAFICI AGOSTINO ALBERTINO  POK <START:DOB> 0902 1937 <END> M ALBARETTO DELLA TORRE  AO CODICE FISCALE 
CODICE FISCALE  C O RKM EI6W5GUD ,  DATI ANAGRAFICI AGOSTO ACHILLE  POK <START:DOB> 2 9 3 O 2019 <END> M ALBAVILLA  AR CODICE FISCALE 
CODICE FISCALE  KE6XZ8TBHJY GWNF ,  DATI ANAGRAFICI AGOZZINO ADELCHIO  POK <START:DOB> 2 3 2 5 1 5 2 O  <END> F ALBENGA  AP CODICE FISCALE 
CODICE FISCALE  XC EN9K1S5BWA R  ,  DATI ANAGRAFICI AGRAMANTE ADIMIRO  POK <START:DOB> 7O431915 <END> M ALBERA LIGURE  AT CODICE FISCALE 
CODICE FISCALE  D6XQI  8FG9WP NE ,  DATI ANAGRAFICI AGRESTI AFRICANO  POK <START:DOB> 3O75 1903 <END> F ALBEROBELLO  AV CODICE FISCALE 
CODICE FISCALE  H B8TU OY 6MQ5XC ,  DATI ANAGRAFICI AGRI AGRICOLA  POK <START:DOB> 87O645    0  <END> M ALBERONA  BA CODICE FISCALE 
CODICE FISCALE  GFZNLBV QCJK D 9 ,  DATI ANAGRAFICI AGRICOLA ALBERTO  POK <START:DOB> 24061922 <END> F ALBESE CON CASSANO  BT CODICE FISCALE 
CODICE FISCALE  51FZ 9  THRCWIM  ,  DATI ANAGRAFICI AGRIG ACHILLEO  POK <START:DOB> 06 02 1945 <END> F ALBETTONE  BL CODICE FISCALE 
CODICE FISCALE  M5ZQWO KBH Y  PC ,  DATI ANAGRAFICI AGRIGNOLA ADELCO  POK <START:DOB> 2311 1998 <END> M ALBI  BN CODICE FISCALE 
CODICE FISCALE  NU1  C AHMP 8TKD ,  DATI ANAGRAFICI AGRILLO ADINO  POK <START:DOB> 4 O 4 O 2000 <END> M ALBIANO  BG CODICE FISCALE 
CODICE FISCALE  FP HSUJNEQMDOI 6 ,  DATI ANAGRAFICI AGRO AFRICO  POK <START:DOB> O O 8 6 9 2 3 7  <END> F ALBIANO D'IVREA  BI CODICE FISCALE 
CODICE FISCALE  Y  LZDNIVOT6 C1M ,  DATI ANAGRAFICI AGUGLIA AGRICOLO  POK <START:DOB> 39311911 <END> F ALBIATE  BO CODICE FISCALE 
CODICE FISCALE  M58Y I GFV19PDOX ,  DATI ANAGRAFICI AGUGLIARO ALBINO  POK <START:DOB> 9166 1914 <END> F ALBIDONA  BZ CODICE FISCALE 
CODICE FISCALE  AC1HNB  EQXT6 F9 ,  DATI ANAGRAFICI AGUIBSUE ACILIO  POK <START:DOB>  2 3O4 5  16 <END> M ALBIGNASEGO  BS CODICE FISCALE 
CODICE FISCALE    E TCWZSIJ6XL8  ,  DATI ANAGRAFICI AGURBEUE ADELELMO  POK <START:DOB> 25111985 <END> F ALBINEA  BR CODICE FISCALE 
CODICE FISCALE  K HJRMIQT8FWXEZ  ,  DATI ANAGRAFICI AHIANM ADINOLFO  POK <START:DOB> 16 08 1967 <END> M ALBINO  CA CODICE FISCALE 
CODICE FISCALE  E FXC9 M IYTL 1U ,  DATI ANAGRAFICI AIDONE AFRO  POK <START:DOB> 2006 1941 <END> M ALBIOLO  CL CODICE FISCALE 
CODICE FISCALE  9QV Z1XS   EBNF8 ,  DATI ANAGRAFICI AIELLO AGRIPPINO  POK <START:DOB> O 0 2 9 2000 <END> F ALBISOLA SUPERIORE  CB CODICE FISCALE 
CODICE FISCALE  OVNJ  A51XRDG6LC ,  DATI ANAGRAFICI AIMONE ALBIO  POK <START:DOB> 5 8 5 0 6 O 2 5  <END> F ALBISSOLA MARINA  CI CODICE FISCALE 
CODICE FISCALE  HC 1Z6 PIRVQ M Y ,  DATI ANAGRAFICI AINA ACQUISTO  POK <START:DOB> 84421911 <END> F ALBIZZATE  CE CODICE FISCALE 
CODICE FISCALE  Q9BX5GJ6FOHAUT1W ,  DATI ANAGRAFICI AIRLLO ADELFINO  POK <START:DOB> 1791 1902 <END> M ALBONESE  CT CODICE FISCALE 
CODICE FISCALE  MDYGJFRU  PTEW   ,  DATI ANAGRAFICI AIROLA ADIO  POK <START:DOB> 12 47OO09 68  <END> M ALBOSAGGIA  CZ CODICE FISCALE 
CODICE FISCALE  GWY VDIPOZ  LC9S ,  DATI ANAGRAFICI AIUTAMICRISTO AFRODISIO  POK <START:DOB> 21101934 <END> M ALBUGNANO  CH CODICE FISCALE 
CODICE FISCALE  W1MR G CI6XH 5 A ,  DATI ANAGRAFICI AJALA AGRISIO  POK <START:DOB> 03 08 1945 <END> M ALBUZZANO  CO CODICE FISCALE 
CODICE FISCALE  B6N9IA8O TFWXECG ,  DATI ANAGRAFICI AJOLO ALBIONTE  POK <START:DOB> 0304 1966 <END> F ALCAMO  CS CODICE FISCALE 
CODICE FISCALE  D  SG68V91 RMUIH ,  DATI ANAGRAFICI AJUTO ACRISIO  POK <START:DOB> 6 O 3 6 2014 <END> M ALCARA LI FUSI  CR CODICE FISCALE 
CODICE FISCALE  S GMIPUHQOJ AEV  ,  DATI ANAGRAFICI ALAGNA ADELFIO  POK <START:DOB> 5 O O 0 9 0 7 4  <END> M ALDENO  KR CODICE FISCALE 
CODICE FISCALE  UP8K1OI FWB EVHT ,  DATI ANAGRAFICI ALAIMO ADIUTO  POK <START:DOB> O9551911 <END> M ALDINO  CN CODICE FISCALE 
CODICE FISCALE  TUBDOYFVNP6RCQX1 ,  DATI ANAGRAFICI ALAIRO AGABIO  POK <START:DOB> 012O 1912 <END> F ALES  EN CODICE FISCALE 
CODICE FISCALE   F8EIZN5VGOS9CD6 ,  DATI ANAGRAFICI ALAMANNO AGUINALDO  POK <START:DOB>    7O9 35 0 <END> F ALESSANDRIA  FM CODICE FISCALE 
