CODICE FISCALE   S5LGIOW N HPB1K ,  DATI ANAGRAFICI ABATE ABACO  POK 19 06 1969 M ABANO TERME  <START:Prov> AG <END> CODICE FISCALE 
CODICE FISCALE  IG YE1U AR8BZMS9 ,  DATI ANAGRAFICI ABBIA ABBONDAZIO  POK 731O1918 F ACCETTURA  <START:Prov> BG <END> CODICE FISCALE 
CODICE FISCALE   KXZYNDUM QW5BGR ,  DATI ANAGRAFICI ABBINANTE ADALGERIO  POK 7182 1908 M ACCIANO  <START:Prov> BI <END> CODICE FISCALE 
CODICE FISCALE   9PA1U8 L GQSOEZ ,  DATI ANAGRAFICI ABBINANTI ADELINO  POK O 5137 O4 8 M ACCUMOLI  <START:Prov> BO <END> CODICE FISCALE 
CODICE FISCALE  LKURE I9P8B  NDV ,  DATI ANAGRAFICI ABBINZO ADO  POK 25071912 F ACERENZA  <START:Prov> BZ <END> CODICE FISCALE 
CODICE FISCALE  GKEYV DFSNL6 QUR ,  DATI ANAGRAFICI ABBOMONTE AGAPIO  POK 06 06 1970 M ACERNO  <START:Prov> BS <END> CODICE FISCALE 
CODICE FISCALE  9XRO ULA6ECGFWI  ,  DATI ANAGRAFICI ABBRUSCATO AIDO  POK 1805 1901 M ACERRA  <START:Prov> BR <END> CODICE FISCALE 
CODICE FISCALE  QMFOPX8Y5G9N S6  ,  DATI ANAGRAFICI ABELE ABBONDIO  POK 6 8 2 O 2002 F ACI BONACCORSI  <START:Prov> CA <END> CODICE FISCALE 
CODICE FISCALE  AF8PDSMBXO LQCIK ,  DATI ANAGRAFICI ABELLO ADALGISIO  POK 5 3 3 7 O 3 1 6  F ACI CASTELLO  <START:Prov> CL <END> CODICE FISCALE 
CODICE FISCALE  BEO H9Z AL1FJR5  ,  DATI ANAGRAFICI ABERTA ADELIO  POK 0O831915 F ACI CATENA  <START:Prov> CB <END> CODICE FISCALE 
CODICE FISCALE  L TQSGV5I   FMAZ ,  DATI ANAGRAFICI ABETTI ADOLFINO  POK 6225 1909 M ACI SANT'ANTONIO  <START:Prov> CI <END> CODICE FISCALE 
CODICE FISCALE  AIZ95TQVNP  R  W ,  DATI ANAGRAFICI ABISSO AGAPITO  POK O9 680  O1  F ACIREALE  <START:Prov> CE <END> CODICE FISCALE 
CODICE FISCALE  SBGT9J6XVZNLCAW  ,  DATI ANAGRAFICI ABLMANE AIMO  POK 03081982 M ACQUAFONDATA  <START:Prov> CT <END> CODICE FISCALE 
CODICE FISCALE  I 8EQLA6JTV5PXMB ,  DATI ANAGRAFICI ABRAMI ABDENAGO  POK 05 04 1980 M ACQUAFORMOSA  <START:Prov> CZ <END> CODICE FISCALE 
CODICE FISCALE  6DFYPW 1T  G RK9 ,  DATI ANAGRAFICI ABRUZZESE ADALGISO  POK 1907 1984 M ACQUAFREDDA  <START:Prov> CH <END> CODICE FISCALE 
CODICE FISCALE  WCA16E FO GK9 LM ,  DATI ANAGRAFICI ABRUZZI ADELISIO  POK 3 6 6 2 2002 F ACQUALAGNA  <START:Prov> CO <END> CODICE FISCALE 
CODICE FISCALE  6V 8TU YK1PC A5W ,  DATI ANAGRAFICI ABRUZZINI ADOLFO  POK 0 9 9 O 7 7 3 5  F ACQUANEGRA CREMONESE  <START:Prov> CS <END> CODICE FISCALE 
CODICE FISCALE  NG 695QHLCD JOVU ,  DATI ANAGRAFICI ABRUZZO AGATINO  POK 88211900 M ACQUANEGRA SUL CHIESE  <START:Prov> CR <END> CODICE FISCALE 
CODICE FISCALE  WXOJAI81CHRTUS D ,  DATI ANAGRAFICI ABTATO AIMONE  POK 3467 1913 F ACQUAPENDENTE  <START:Prov> KR <END> CODICE FISCALE 
CODICE FISCALE  JLSVMPCDZFTIYEN  ,  DATI ANAGRAFICI ABUISO ABDON  POK 74 058  O6  M ACQUAPPESA  <START:Prov> CN <END> CODICE FISCALE 
CODICE FISCALE  G1APZ8L9KI6QD OY ,  DATI ANAGRAFICI ACARDI ADALINDO  POK 14051971 M ACQUARICA DEL CAPO  <START:Prov> EN <END> CODICE FISCALE 
CODICE FISCALE  Q9C VU LWN1 YH 8 ,  DATI ANAGRAFICI ACARDO ADELMARO  POK 23 07 1974 M ACQUARO  <START:Prov> FM <END> CODICE FISCALE 
CODICE FISCALE  GDO ZA9C 8IJVXFY ,  DATI ANAGRAFICI ACCARCO ADONE  POK 2701 1918 M ACQUASANTA TERME  <START:Prov> FE <END> CODICE FISCALE 
CODICE FISCALE  U95TR 8NJMAVOEKG ,  DATI ANAGRAFICI ACCARDI AGATO  POK 4 0 5 0 2016 M ACQUASPARTA  <START:Prov> FI <END> CODICE FISCALE 
CODICE FISCALE  ZBOFALSE 6KXPJIV ,  DATI ANAGRAFICI ACCARDO AIRALDO  POK 6 6 1 O 5 6 1 3  M ACQUAVIVA COLLECROCE  <START:Prov> FG <END> CODICE FISCALE 
CODICE FISCALE  P KIXUBJOL D1W89 ,  DATI ANAGRAFICI ACCATTATO ABDONE  POK 9O481906 M ACQUAVIVA D'ISERNIA  <START:Prov> FC <END> CODICE FISCALE 
CODICE FISCALE  WCRDO 9BJEINUY V ,  DATI ANAGRAFICI ACCATTINO ADALIO  POK 4246 1910 F ACQUAVIVA DELLE FONTI  <START:Prov> FR <END> CODICE FISCALE 
CODICE FISCALE  PN E GA1 JH XL59 ,  DATI ANAGRAFICI ACCAVALO ADELMINO  POK 1475860   OO2 F ACQUAVIVA PICENA  <START:Prov> GE <END> CODICE FISCALE 
CODICE FISCALE  ESMOVNJ H GAQZI6 ,  DATI ANAGRAFICI ACCETTA ADONELLO  POK 13081981 M ACQUAVIVA PLATANI  <START:Prov> GO <END> CODICE FISCALE 
CODICE FISCALE  TPOCSXAQ5RFLK8YW ,  DATI ANAGRAFICI ACCIARO AGATOCLE  POK 10 04 1982 M ACQUEDOLCI  <START:Prov> GR <END> CODICE FISCALE 
CODICE FISCALE  RY Q INZEDT A OJ ,  DATI ANAGRAFICI ACCICO AIUTO  POK 1711 1932 F ACQUI TERME  <START:Prov> IM <END> CODICE FISCALE 
CODICE FISCALE  8L5  1MKJQFAU GH ,  DATI ANAGRAFICI ACCIERI ABELARDO  POK 5 8 O 2 2019 M ACRI  <START:Prov> IS <END> CODICE FISCALE 
CODICE FISCALE  P9I ACF6Y  HRB8Q ,  DATI ANAGRAFICI ACCOMANDO ADAMELLO  POK 4 9 7 0 0 O 0 2  F ACUTO  <START:Prov> SP <END> CODICE FISCALE 
CODICE FISCALE  BELHAF  GPUCY SK ,  DATI ANAGRAFICI ACCOMANO ADELMIRO  POK 01191918 F ADELFIA  <START:Prov> AQ <END> CODICE FISCALE 
CODICE FISCALE  Z9 XL WTHVAJD B  ,  DATI ANAGRAFICI ACCONIANDO ADORANDO  POK O530 1907 M ADRANO  <START:Prov> LT <END> CODICE FISCALE 
CODICE FISCALE  UZCV  O5MW6HBK81 ,  DATI ANAGRAFICI ACCORAMBONI AGATONE  POK 46   05 O71O9 M ADRARA SAN MARTINO  <START:Prov> LE <END> CODICE FISCALE 
CODICE FISCALE  1P G8SV Q 6FAIOE ,  DATI ANAGRAFICI ACCORIMBONI ALADINO  POK 22051983 M ADRARA SAN ROCCO  <START:Prov> LC <END> CODICE FISCALE 
CODICE FISCALE  N9Y8GCLQESKUA  O ,  DATI ANAGRAFICI ACCORINTI ABELE  POK 18 07 1986 M ADRIA  <START:Prov> LI <END> CODICE FISCALE 
CODICE FISCALE  WLQT9XU8 DCMRNBH ,  DATI ANAGRAFICI ACCORONI ADAMINO  POK 0101 1950 M ADRO  <START:Prov> LO <END> CODICE FISCALE 
CODICE FISCALE   DV SNGT8WEY5ZL6 ,  DATI ANAGRAFICI ACCURSIO ADELMO  POK O O 7 9 2011 M AFFI  <START:Prov> LU <END> CODICE FISCALE 
CODICE FISCALE  1DB XTP9K5R6FI8Z ,  DATI ANAGRAFICI ACERBI ADORATO  POK 4 0 1 6 3 4 5 4  M AFFILE  <START:Prov> MC <END> CODICE FISCALE 
CODICE FISCALE  IU9OWR  P 16F XM ,  DATI ANAGRAFICI ACETO AGAZIO  POK 21451904 F AFRAGOLA  <START:Prov> MN <END> CODICE FISCALE 
CODICE FISCALE  DPCS9EYMQKF16X   ,  DATI ANAGRAFICI ACHILLINI ALAGHIERO  POK 9974 1903 F AFRICO  <START:Prov> MS <END> CODICE FISCALE 
CODICE FISCALE  WNIVXHLC5 MFBR P ,  DATI ANAGRAFICI ACICAFERRO ABELINO  POK  O04 96 738O2 F AGAZZANO  <START:Prov> MT <END> CODICE FISCALE 
CODICE FISCALE  UVL5T8Z 9 X  RBQ ,  DATI ANAGRAFICI ACINELLO ADAMO  POK 05081956 M AGEROLA  <START:Prov> VS <END> CODICE FISCALE 
CODICE FISCALE  H 6M9X5  SBYVD U ,  DATI ANAGRAFICI ACIONE ADELO  POK 20 03 1913 F AGGIUS  <START:Prov> ME <END> CODICE FISCALE 
CODICE FISCALE  1PFXQOMBJ IVW ZR ,  DATI ANAGRAFICI ACOCELLA ADORNINO  POK 0408 1998 M AGIRA  <START:Prov> MI <END> CODICE FISCALE 
CODICE FISCALE  AJS5U VHOG CMZF8 ,  DATI ANAGRAFICI ACQUA AGENORE  POK 1 3 O O 2007 F AGLIANA  <START:Prov> MO <END> CODICE FISCALE 
CODICE FISCALE  MHR JSTEVX5 OFNW ,  DATI ANAGRAFICI ACQUAFREDDA ALAMANNO  POK 8 1 8 7 7 0 4 0  M AGLIANO TERME  <START:Prov> MB <END> CODICE FISCALE 
CODICE FISCALE  65YQGV  FTMLD8CE ,  DATI ANAGRAFICI ACQUARO ABERARDO  POK 72361902 F AGLIÈ  <START:Prov> NA <END> CODICE FISCALE 
CODICE FISCALE     CL8 VYMN 1EP6 ,  DATI ANAGRAFICI ACQUARUOLO ADASTRO  POK 5501 1902 M AGLIENTU  <START:Prov> NO <END> CODICE FISCALE 
CODICE FISCALE  CKWPSXGADVH6R9B8 ,  DATI ANAGRAFICI ACQUISTAPACE ADEMARO  POK 28  30 O 647 M AGNA  <START:Prov> NU <END> CODICE FISCALE 
CODICE FISCALE  6PNH 8BRT5EJZC L ,  DATI ANAGRAFICI ACUTO ADORNO  POK 09091931 M AGNADELLO  <START:Prov> OG <END> CODICE FISCALE 
CODICE FISCALE  JY5 GW  VSQZU6EH ,  DATI ANAGRAFICI ADAMI AGEO  POK 11 05 1985 M AGNANA CALABRA  <START:Prov> OT <END> CODICE FISCALE 
CODICE FISCALE   MGIRCS51TPEUQLX ,  DATI ANAGRAFICI ADAMO ALAMIRO  POK 0707 1951 F AGNONE  <START:Prov> OR <END> CODICE FISCALE 
CODICE FISCALE  I RDQJCY L6M5B8F ,  DATI ANAGRAFICI ADAMOL ABILIO  POK 9 3 6 O 2006 M AGNOSINE  <START:Prov> PD <END> CODICE FISCALE 
CODICE FISCALE  EVR MO  DCLSG  I ,  DATI ANAGRAFICI ADAMOLLO ADDAMIANO  POK 4 7 5 0 3 4 O 8  F AGORDO  <START:Prov> PA <END> CODICE FISCALE 
CODICE FISCALE  HP 1CDWQOY 8 KBF ,  DATI ANAGRAFICI ADAMOLO ADEMIO  POK 06801916 M AGOSTA  <START:Prov> PR <END> CODICE FISCALE 
CODICE FISCALE  I BD6VXSAN  WO1L ,  DATI ANAGRAFICI ADDARIO ADRASTO  POK OO98 1907 F AGRA  <START:Prov> PV <END> CODICE FISCALE 
CODICE FISCALE  SYZPCG INV8LOURF ,  DATI ANAGRAFICI ADDIEGO AGESILAO  POK   3OO 792541 M AGRATE BRIANZA  <START:Prov> PG <END> CODICE FISCALE 
CODICE FISCALE   8ACGI O MVQTNJX ,  DATI ANAGRAFICI ADDO ALAN  POK 05071959 M AGRATE CONTURBIA  <START:Prov> PU <END> CODICE FISCALE 
CODICE FISCALE  C8TMS ERWLOB1Z6N ,  DATI ANAGRAFICI ADDOBASSO ABONDIO  POK 08 11 1956 F AGRIGENTO  <START:Prov> PE <END> CODICE FISCALE 
CODICE FISCALE   PFH G5TSMIOV9WB ,  DATI ANAGRAFICI ADDONE ADDARIO  POK 2301 1983 M AGROPOLI  <START:Prov> PC <END> CODICE FISCALE 
CODICE FISCALE  TYG ZWH K5 JU1CR ,  DATI ANAGRAFICI ADIMARI ADEMO  POK 8 4 1 3 2009 F AGUGLIANO  <START:Prov> PI <END> CODICE FISCALE 
CODICE FISCALE   ED  8XVA  RJLON ,  DATI ANAGRAFICI ADORATO ADREANO  POK 0 9 8 O 3 6 9 3  M AGUGLIARO  <START:Prov> PT <END> CODICE FISCALE 
CODICE FISCALE    FIEANPGZDV H 5 ,  DATI ANAGRAFICI ADORNO AGGEO  POK O11O1903 M AICURZIO  <START:Prov> PN <END> CODICE FISCALE 
CODICE FISCALE  AO LR SIPXTF 6MK ,  DATI ANAGRAFICI ADRIALFI ALARICO  POK 8948 1908 F AIDOMAGGIORE  <START:Prov> PZ <END> CODICE FISCALE 
CODICE FISCALE  GXH5  R BASNF C6 ,  DATI ANAGRAFICI AEIARIO ABRAMINO  POK  O7O 3  0428  M AIDONE  <START:Prov> PO <END> CODICE FISCALE 
CODICE FISCALE  KOZUAM S6 XIBWP  ,  DATI ANAGRAFICI AEQUAVIVA ADDIEGO  POK 05071986 F AIELLI  <START:Prov> RG <END> CODICE FISCALE 
CODICE FISCALE  ILFO1V8SN9 GCDQR ,  DATI ANAGRAFICI AFFATATO ADEO  POK 12 02 1929 F AIELLO CALABRO  <START:Prov> RA <END> CODICE FISCALE 
CODICE FISCALE  W F5 TE6 IVHZ XL ,  DATI ANAGRAFICI AFFITTO ADRIANO  POK 2310 1996 M AIELLO DEL FRIULI  <START:Prov> RC <END> CODICE FISCALE 
CODICE FISCALE  ATCMULQG6EW95V 8 ,  DATI ANAGRAFICI AFFRANTI AGIDE  POK 9 1 8 3 2019 F AIELLO DEL SABATO  <START:Prov> RE <END> CODICE FISCALE 
CODICE FISCALE   UCG TIQZAH Y SK ,  DATI ANAGRAFICI AFFRONTO ALBANINO  POK 3 0 2 0 O 9 5 6  F AIETA  <START:Prov> RI <END> CODICE FISCALE 
CODICE FISCALE  TEZ GQ5N  LMX9D1 ,  DATI ANAGRAFICI AFRICANO ABRAMO  POK O0631919 M AILANO  <START:Prov> RN <END> CODICE FISCALE 
CODICE FISCALE  CBD KR19SEJU ZNH ,  DATI ANAGRAFICI AGABITI ADDOLORATO  POK 5035 1916 M AILOCHE  <START:Prov> RM <END> CODICE FISCALE 
CODICE FISCALE  E9R K W5MC81B  Y ,  DATI ANAGRAFICI AGAMENONE ADEODATO  POK O85 7 O2 9 01 F AIRASCA  <START:Prov> RO <END> CODICE FISCALE 
CODICE FISCALE   WDSMLNTY9AF 5 O ,  DATI ANAGRAFICI AGATA ADRIO  POK 26081993 M AIROLA  <START:Prov> SA <END> CODICE FISCALE 
CODICE FISCALE  5A DML  V ONZQRB ,  DATI ANAGRAFICI AGATONE AGILULFO  POK 02 06 1968 M AIROLE  <START:Prov> SS <END> CODICE FISCALE 
CODICE FISCALE   RT6N JAXB MVCFZ ,  DATI ANAGRAFICI AGELLI ALBANO  POK 1404 1977 M AIRUNO  <START:Prov> SV <END> CODICE FISCALE 
CODICE FISCALE  6WGYUR 8C9 XBKSF ,  DATI ANAGRAFICI AGGARDATI ACCORSO  POK 3 6 4 6 2014 F AISONE  <START:Prov> SI <END> CODICE FISCALE 
CODICE FISCALE  TV S BIZQ NOWRMF ,  DATI ANAGRAFICI AGILUFO ADDONIZIO  POK 9 1 2 4 1 4 7 2  M ALA  <START:Prov> SR <END> CODICE FISCALE 
CODICE FISCALE  VD5L ONY HKJMTWS ,  DATI ANAGRAFICI AGLI ADERITO  POK 84831910 M ALÀ DEI SARDI  <START:Prov> SO <END> CODICE FISCALE 
CODICE FISCALE   PAL61CUYSBMHG X ,  DATI ANAGRAFICI AGLIALORO ADUILIO  POK 02O4 1916 M ALA DI STURA  <START:Prov> TA <END> CODICE FISCALE 
CODICE FISCALE   OC8B X FZ5UKSNE ,  DATI ANAGRAFICI AGLIE AGNELLO  POK 8 320 O5  9 M ALAGNA  <START:Prov> TE <END> CODICE FISCALE 
CODICE FISCALE  H61EB9  8ZW NOIG ,  DATI ANAGRAFICI AGLIETTA ALBERICO  POK 14111911 M ALAGNA VALSESIA  <START:Prov> TR <END> CODICE FISCALE 
CODICE FISCALE  NSY9P8W JO  MCXI ,  DATI ANAGRAFICI AGLIETTI ACCURSIO  POK 04 10 1923 F ALANNO  <START:Prov> TP <END> CODICE FISCALE 
CODICE FISCALE  L9PI Z18UA KOFE  ,  DATI ANAGRAFICI AGLIETTIE ADELAIDO  POK 0211 1944 M ALANO DI PIAVE  <START:Prov> TN <END> CODICE FISCALE 
CODICE FISCALE  YXMBNRAOJK T1Z L ,  DATI ANAGRAFICI AGLIONE ADERMO  POK 9 O 9 8 2016 F ALASSIO  <START:Prov> TV <END> CODICE FISCALE 
CODICE FISCALE  9NBFD WYEUQ1Z MV ,  DATI ANAGRAFICI AGNELLI ADUINO  POK O 6 2 2 5 O 2 4  M ALATRI  <START:Prov> TS <END> CODICE FISCALE 
CODICE FISCALE  ITLQE KY 5G 98P6 ,  DATI ANAGRAFICI AGNELLO AGNESIO  POK 35O51906 F ALBA  <START:Prov> TO <END> CODICE FISCALE 
CODICE FISCALE  NOKYA1I9  PDFQT  ,  DATI ANAGRAFICI AGNESE ALBERIGO  POK 9O75 1901 F ALBA ADRIATICA  <START:Prov> UD <END> CODICE FISCALE 
CODICE FISCALE  WYGSZ ARBQVU5 NI ,  DATI ANAGRAFICI AGNISIO ACCURSO  POK  0O 79O4 5 8 M ALBAGIARA  <START:Prov> VA <END> CODICE FISCALE 
CODICE FISCALE  ERGQZA 69PDBLNIM ,  DATI ANAGRAFICI AGNO ADELASIO  POK 15051967 F ALBAIRATE  <START:Prov> VE <END> CODICE FISCALE 
CODICE FISCALE  G9C6 WODTVBLE8 1 ,  DATI ANAGRAFICI AGNOLILLO ADILIO  POK 10 02 1926 F ALBANELLA  <START:Prov> VB <END> CODICE FISCALE 
CODICE FISCALE  NQ 5DXGAF J6BP I ,  DATI ANAGRAFICI AGNUSDEI ADUO  POK 0611 1970 F ALBANO DI LUCANIA  <START:Prov> VC <END> CODICE FISCALE 
CODICE FISCALE   X W1KZ QE IYUG  ,  DATI ANAGRAFICI AGO AGNOLO  POK 3 3 4 1 2016 M ALBANO LAZIALE  <START:Prov> VR <END> CODICE FISCALE 
CODICE FISCALE   YFZNKO1 8STRQP  ,  DATI ANAGRAFICI AGOLANTE ALBERINO  POK 7 0 7 2 1 2 0 3  M ALBANO SANT'ALESSANDRO  <START:Prov> VV <END> CODICE FISCALE 
CODICE FISCALE  C Y9UG SH OLXWRN ,  DATI ANAGRAFICI AGOLI ACHILLA  POK OOO61916 F ALBANO VERCELLESE  <START:Prov> VI <END> CODICE FISCALE 
CODICE FISCALE  J6VRU9DX 5G HS 8 ,  DATI ANAGRAFICI AGOSTA ADELCHI  POK 3OO9 1914 F ALBAREDO ARNABOLDI  <START:Prov> VT <END> CODICE FISCALE 
CODICE FISCALE  PRVKI F 6GLQEWUY ,  DATI ANAGRAFICI AGOSTI ADIMARO  POK 05O 4 73 81  M ALBAREDO D'ADIGE  <START:Prov> AG <END> CODICE FISCALE 
CODICE FISCALE  PN L1YIGH VA   Q ,  DATI ANAGRAFICI AGOSTINELLI AFFORTUNATO  POK 03041906 M ALBAREDO PER SAN MARCO  <START:Prov> AL <END> CODICE FISCALE 
CODICE FISCALE  YV 6B I JOMG58 Z ,  DATI ANAGRAFICI AGOSTINI AGOSTINO  POK 12 03 1988 M ALBARETO  <START:Prov> AN <END> CODICE FISCALE 
CODICE FISCALE  KX5SEJ N IAYUGRL ,  DATI ANAGRAFICI AGOSTINO ALBERTINO  POK 2011 1949 F ALBARETTO DELLA TORRE  <START:Prov> AO <END> CODICE FISCALE 
CODICE FISCALE  S UFE5IOCGAD1PLV ,  DATI ANAGRAFICI AGOSTO ACHILLE  POK 0 2 3 9 2000 M ALBAVILLA  <START:Prov> AR <END> CODICE FISCALE 
CODICE FISCALE  X8NI561PKMUVB LW ,  DATI ANAGRAFICI AGOZZINO ADELCHIO  POK O 5 O 5 O 6 6 5  F ALBENGA  <START:Prov> AP <END> CODICE FISCALE 
CODICE FISCALE  CT EZQDSBVG L8RK ,  DATI ANAGRAFICI AGRAMANTE ADIMIRO  POK 6O1O1916 F ALBERA LIGURE  <START:Prov> AT <END> CODICE FISCALE 
CODICE FISCALE  ZVIL EKJ9 PAGT16 ,  DATI ANAGRAFICI AGRESTI AFRICANO  POK O673 1912 M ALBEROBELLO  <START:Prov> AV <END> CODICE FISCALE 
CODICE FISCALE  KV JISP5OH8ZAUYC ,  DATI ANAGRAFICI AGRI AGRICOLA  POK 3 28 4  157 M ALBERONA  <START:Prov> BA <END> CODICE FISCALE 
CODICE FISCALE  S XLT5QIAHBC R U ,  DATI ANAGRAFICI AGRICOLA ALBERTO  POK 25011912 M ALBESE CON CASSANO  <START:Prov> BT <END> CODICE FISCALE 
CODICE FISCALE  U CVANS  TM 1O K ,  DATI ANAGRAFICI AGRIG ACHILLEO  POK 11 09 1964 M ALBETTONE  <START:Prov> BL <END> CODICE FISCALE 
CODICE FISCALE  8 ZW T9KJMQIYS 5 ,  DATI ANAGRAFICI AGRIGNOLA ADELCO  POK 1607 1997 M ALBI  <START:Prov> BN <END> CODICE FISCALE 
CODICE FISCALE  D WRYNV5B1S M  K ,  DATI ANAGRAFICI AGRILLO ADINO  POK 6 0 0 3 2011 F ALBIANO  <START:Prov> BG <END> CODICE FISCALE 
CODICE FISCALE  9  6O PFH5X MEIJ ,  DATI ANAGRAFICI AGRO AFRICO  POK 3 6 O 8 O O O 5  F ALBIANO D'IVREA  <START:Prov> BI <END> CODICE FISCALE 
CODICE FISCALE  VU IATHFN6D19GMC ,  DATI ANAGRAFICI AGUGLIA AGRICOLO  POK 62401909 M ALBIATE  <START:Prov> BO <END> CODICE FISCALE 
CODICE FISCALE  VBC5QZETFUXDYP9A ,  DATI ANAGRAFICI AGUGLIARO ALBINO  POK O05O 1914 M ALBIDONA  <START:Prov> BZ <END> CODICE FISCALE 
CODICE FISCALE   8Z6XV5APKBNU 9R ,  DATI ANAGRAFICI AGUIBSUE ACILIO  POK  4613 27 O90  F ALBIGNASEGO  <START:Prov> BS <END> CODICE FISCALE 
CODICE FISCALE  SOV LU1E9KMYFNQR ,  DATI ANAGRAFICI AGURBEUE ADELELMO  POK 01061983 M ALBINEA  <START:Prov> BR <END> CODICE FISCALE 
CODICE FISCALE  1SHD J 9ZB  IAU6 ,  DATI ANAGRAFICI AHIANM ADINOLFO  POK 07 01 1932 M ALBINO  <START:Prov> CA <END> CODICE FISCALE 
CODICE FISCALE   RIYUB 8  69 HKQ ,  DATI ANAGRAFICI AIDONE AFRO  POK 1506 1924 F ALBIOLO  <START:Prov> CL <END> CODICE FISCALE 
CODICE FISCALE  OXQ N  WBFSK DGR ,  DATI ANAGRAFICI AIELLO AGRIPPINO  POK 2 9 7 2 2007 F ALBISOLA SUPERIORE  <START:Prov> CB <END> CODICE FISCALE 
CODICE FISCALE   6JXZKYNF   D  I ,  DATI ANAGRAFICI AIMONE ALBIO  POK 4 5 5 8 0 O 6 O  F ALBISSOLA MARINA  <START:Prov> CI <END> CODICE FISCALE 
CODICE FISCALE  M YRH6FIAOSCDXU  ,  DATI ANAGRAFICI AINA ACQUISTO  POK 65O11900 F ALBIZZATE  <START:Prov> CE <END> CODICE FISCALE 
CODICE FISCALE  FI R9UQ1SEOP  DG ,  DATI ANAGRAFICI AIRLLO ADELFINO  POK 582O 1907 M ALBONESE  <START:Prov> CT <END> CODICE FISCALE 
CODICE FISCALE  BJ5RO8 FPCVHKY6M ,  DATI ANAGRAFICI AIROLA ADIO  POK 7  O 2 O640 M ALBOSAGGIA  <START:Prov> CZ <END> CODICE FISCALE 
CODICE FISCALE  XMKELHU YOT68 ZQ ,  DATI ANAGRAFICI AIUTAMICRISTO AFRODISIO  POK 16061968 F ALBUGNANO  <START:Prov> CH <END> CODICE FISCALE 
CODICE FISCALE  SVXR5FO I MLB1WP ,  DATI ANAGRAFICI AJALA AGRISIO  POK 13 06 1999 F ALBUZZANO  <START:Prov> CO <END> CODICE FISCALE 
CODICE FISCALE  QX L6J TON YHK   ,  DATI ANAGRAFICI AJOLO ALBIONTE  POK 0903 1971 F ALCAMO  <START:Prov> CS <END> CODICE FISCALE 
CODICE FISCALE  B 6A 5FVYSIM  J  ,  DATI ANAGRAFICI AJUTO ACRISIO  POK 1 O 2 O 2009 M ALCARA LI FUSI  <START:Prov> CR <END> CODICE FISCALE 
CODICE FISCALE  V T61U XHLQ8YFCK ,  DATI ANAGRAFICI ALAGNA ADELFIO  POK 6 0 0 6 1 8 5 8  F ALDENO  <START:Prov> KR <END> CODICE FISCALE 
CODICE FISCALE   QPDANO TIURKY1S ,  DATI ANAGRAFICI ALAIMO ADIUTO  POK 21351908 M ALDINO  <START:Prov> CN <END> CODICE FISCALE 
CODICE FISCALE  WB   SK 5NFHXCUP ,  DATI ANAGRAFICI ALAIRO AGABIO  POK 066O 1912 F ALES  <START:Prov> EN <END> CODICE FISCALE 
CODICE FISCALE   D F8H WKRZMTC6U ,  DATI ANAGRAFICI ALAMANNO AGUINALDO  POK 46O03 958 2O  F ALESSANDRIA  <START:Prov> FM <END> CODICE FISCALE 
