CODICE FISCALE  K 8VLZ1FECHJ SIR ,  DATI ANAGRAFICI ABATE ABACO  POK 23 08 1955 F <START:City> ABANO TERME <END>  AG CODICE FISCALE 
CODICE FISCALE  EC UDQGL OSAZ69M ,  DATI ANAGRAFICI ABERTA ADELIO  POK 46541905 F <START:City> ACI CATENA <END>  CB CODICE FISCALE 
CODICE FISCALE   BPYF81VSXORLENA ,  DATI ANAGRAFICI ABETTI ADOLFINO  POK 04O1 1912 F <START:City> ACI SANT'ANTONIO <END>  CI CODICE FISCALE 
CODICE FISCALE   OL9MB5R6WSGH  N ,  DATI ANAGRAFICI ABISSO AGAPITO  POK 512O  378O 09 M <START:City> ACIREALE <END>  CE CODICE FISCALE 
CODICE FISCALE  XJSHEG5YZNR 6V Q ,  DATI ANAGRAFICI ABLMANE AIMO  POK 05011944 M <START:City> ACQUAFONDATA <END>  CT CODICE FISCALE 
CODICE FISCALE  HVCZ LJ  GIWF1RU ,  DATI ANAGRAFICI ABRAMI ABDENAGO  POK 04 06 1978 F <START:City> ACQUAFORMOSA <END>  CZ CODICE FISCALE 
CODICE FISCALE  B6IZ PT LKHE1 JV ,  DATI ANAGRAFICI ABRUZZESE ADALGISO  POK 0803 1973 F <START:City> ACQUAFREDDA <END>  CH CODICE FISCALE 
CODICE FISCALE  PTHMV6 KFQX D9CL ,  DATI ANAGRAFICI ABRUZZI ADELISIO  POK O 4 8 O 2009 M <START:City> ACQUALAGNA <END>  CO CODICE FISCALE 
CODICE FISCALE  ZXLFQ1WO AMRYDS5 ,  DATI ANAGRAFICI ABRUZZINI ADOLFO  POK 3 4 6 4 5 5 9 1  M <START:City> ACQUANEGRA CREMONESE <END>  CS CODICE FISCALE 
CODICE FISCALE  TWPKNIRXLDUG E6B ,  DATI ANAGRAFICI ABRUZZO AGATINO  POK 70501905 M <START:City> ACQUANEGRA SUL CHIESE <END>  CR CODICE FISCALE 
CODICE FISCALE  C 6OP9EUS  IZDT  ,  DATI ANAGRAFICI ABTATO AIMONE  POK 8484 1902 M <START:City> ACQUAPENDENTE <END>  KR CODICE FISCALE 
CODICE FISCALE  X RSUIFT  8VB MO ,  DATI ANAGRAFICI ABUISO ABDON  POK 60825   O O31 M <START:City> ACQUAPPESA <END>  CN CODICE FISCALE 
CODICE FISCALE  T8D6ZIWSB 1Q 9AU ,  DATI ANAGRAFICI ACARDI ADALINDO  POK 14111907 F <START:City> ACQUARICA DEL CAPO <END>  EN CODICE FISCALE 
CODICE FISCALE  RO6 GPD 9BCTWUXJ ,  DATI ANAGRAFICI ACARDO ADELMARO  POK 11 09 1964 F <START:City> ACQUARO <END>  FM CODICE FISCALE 
CODICE FISCALE  G PW  9JHN1SQYTZ ,  DATI ANAGRAFICI ACCARCO ADONE  POK 2411 1988 M <START:City> ACQUASANTA TERME <END>  FE CODICE FISCALE 
CODICE FISCALE  X5N RWPDQUI MAE8 ,  DATI ANAGRAFICI ACCARDI AGATO  POK 0 9 6 9 2000 F <START:City> ACQUASPARTA <END>  FI CODICE FISCALE 
CODICE FISCALE  O9BM1WKDFZGN EJL ,  DATI ANAGRAFICI ACCARDO AIRALDO  POK O O 5 1 8 8 5 7  F <START:City> ACQUAVIVA COLLECROCE <END>  FG CODICE FISCALE 
CODICE FISCALE   IX KS   MAO6JNP ,  DATI ANAGRAFICI ACCATTATO ABDONE  POK 60121915 M <START:City> ACQUAVIVA D'ISERNIA <END>  FC CODICE FISCALE 
CODICE FISCALE   KVGOXQFDSM Y6U  ,  DATI ANAGRAFICI ACCATTINO ADALIO  POK 7054 1913 F <START:City> ACQUAVIVA DELLE FONTI <END>  FR CODICE FISCALE 
CODICE FISCALE  LTC 9DBXPOQSME5V ,  DATI ANAGRAFICI ACCAVALO ADELMINO  POK  0 9O 1 4735 F <START:City> ACQUAVIVA PICENA <END>  GE CODICE FISCALE 
CODICE FISCALE  JMFDIASZB9R KQ6H ,  DATI ANAGRAFICI ACCETTA ADONELLO  POK 29061943 F <START:City> ACQUAVIVA PLATANI <END>  GO CODICE FISCALE 
CODICE FISCALE  LIGAM   8RDON 6X ,  DATI ANAGRAFICI ACCIARO AGATOCLE  POK 06 09 1903 F <START:City> ACQUEDOLCI <END>  GR CODICE FISCALE 
CODICE FISCALE  CRB HZ YNJ891  A ,  DATI ANAGRAFICI ACCICO AIUTO  POK 0403 1994 F <START:City> ACQUI TERME <END>  IM CODICE FISCALE 
CODICE FISCALE  ES1 YN9 LI OUR   ,  DATI ANAGRAFICI ACCIERI ABELARDO  POK 4 O 2 9 2015 M <START:City> ACRI <END>  IS CODICE FISCALE 
CODICE FISCALE  9LC VWS MGDUQFP5 ,  DATI ANAGRAFICI ACCOMANDO ADAMELLO  POK O 0 8 9 3 O 9 4  F <START:City> ACUTO <END>  SP CODICE FISCALE 
CODICE FISCALE  9BOQR K NS JF8XH ,  DATI ANAGRAFICI ACCOMANO ADELMIRO  POK 73461915 F <START:City> ADELFIA <END>  AQ CODICE FISCALE 
CODICE FISCALE  XRILUZ   CS8OF5T ,  DATI ANAGRAFICI ACCONIANDO ADORANDO  POK 2682 1908 F <START:City> ADRANO <END>  LT CODICE FISCALE 
CODICE FISCALE   16SCFBO  M9AVEZ ,  DATI ANAGRAFICI ACCORAMBONI AGATONE  POK  O 0291675  F <START:City> ADRARA SAN MARTINO <END>  LE CODICE FISCALE 
CODICE FISCALE  C  O SAU8  1N5R  ,  DATI ANAGRAFICI ACCORIMBONI ALADINO  POK 14051908 M <START:City> ADRARA SAN ROCCO <END>  LC CODICE FISCALE 
CODICE FISCALE  XK68  G J9 HNDYS ,  DATI ANAGRAFICI ACCORINTI ABELE  POK 30 06 1900 M <START:City> ADRIA <END>  LI CODICE FISCALE 
CODICE FISCALE  Q1Z 5L68E  KJ9OM ,  DATI ANAGRAFICI ACCORONI ADAMINO  POK 1010 1991 F <START:City> ADRO <END>  LO CODICE FISCALE 
CODICE FISCALE  GTXO1S WAM HB P  ,  DATI ANAGRAFICI ACCURSIO ADELMO  POK 0 9 4 0 2019 M <START:City> AFFI <END>  LU CODICE FISCALE 
CODICE FISCALE  OPYH TCS1 9DUBMR ,  DATI ANAGRAFICI ACERBI ADORATO  POK 0 4 1 O 7 6 O 6  F <START:City> AFFILE <END>  MC CODICE FISCALE 
CODICE FISCALE   QDYLA XZ1 IW  P ,  DATI ANAGRAFICI ACETO AGAZIO  POK 66221918 M <START:City> AFRAGOLA <END>  MN CODICE FISCALE 
CODICE FISCALE  ZA9 S J F 56EI M ,  DATI ANAGRAFICI ACHILLINI ALAGHIERO  POK 3882 1913 F <START:City> AFRICO <END>  MS CODICE FISCALE 
CODICE FISCALE  NQ P8 VUWBS 5ZRD ,  DATI ANAGRAFICI ACICAFERRO ABELINO  POK 9 03 4O82 15  F <START:City> AGAZZANO <END>  MT CODICE FISCALE 
CODICE FISCALE  UST QBHYWRV D95J ,  DATI ANAGRAFICI ACINELLO ADAMO  POK 21101974 M <START:City> AGEROLA <END>  VS CODICE FISCALE 
CODICE FISCALE   I XB UE 9T RZPK ,  DATI ANAGRAFICI ACIONE ADELO  POK 27 03 1900 F <START:City> AGGIUS <END>  ME CODICE FISCALE 
CODICE FISCALE  U PNBV9Q6A8J5ED  ,  DATI ANAGRAFICI ACOCELLA ADORNINO  POK 0107 1913 M <START:City> AGIRA <END>  MI CODICE FISCALE 
CODICE FISCALE   69UQCPBM8ZFOX 5 ,  DATI ANAGRAFICI ACQUA AGENORE  POK 1 8 1 4 2007 M <START:City> AGLIANA <END>  MO CODICE FISCALE 
CODICE FISCALE   6 FDL QKI9PGWTX ,  DATI ANAGRAFICI ACQUAFREDDA ALAMANNO  POK 0 2 6 9 7 4 2 O  F <START:City> AGLIANO TERME <END>  MB CODICE FISCALE 
CODICE FISCALE  9 KJPTAY LIEM  U ,  DATI ANAGRAFICI ACQUARO ABERARDO  POK 51091914 F <START:City> AGLIÈ <END>  NA CODICE FISCALE 
CODICE FISCALE  WP9 AHYVKCLORU1N ,  DATI ANAGRAFICI ACQUARUOLO ADASTRO  POK 6O21 1916 M <START:City> AGLIENTU <END>  NO CODICE FISCALE 
CODICE FISCALE  VT P8JFBRYQILSD  ,  DATI ANAGRAFICI ACQUISTAPACE ADEMARO  POK  6 7O4O  0 1 M <START:City> AGNA <END>  NU CODICE FISCALE 
CODICE FISCALE   89E P1IUXH TSWK ,  DATI ANAGRAFICI ACUTO ADORNO  POK 20091961 M <START:City> AGNADELLO <END>  OG CODICE FISCALE 
CODICE FISCALE  B6CQG X1Y USZ FI ,  DATI ANAGRAFICI ADAMI AGEO  POK 14 02 1903 F <START:City> AGNANA CALABRA <END>  OT CODICE FISCALE 
CODICE FISCALE  W65NC EUZMVKTPLG ,  DATI ANAGRAFICI ADAMO ALAMIRO  POK 1309 1985 M <START:City> AGNONE <END>  OR CODICE FISCALE 
CODICE FISCALE    ZN9BAK  CX6DE5 ,  DATI ANAGRAFICI ADAMOL ABILIO  POK O 2 0 7 2009 F <START:City> AGNOSINE <END>  PD CODICE FISCALE 
CODICE FISCALE  QGOLJ C 5X Y  N6 ,  DATI ANAGRAFICI ADAMOLLO ADDAMIANO  POK 5 8 5 1 3 9 8 5  M <START:City> AGORDO <END>  PA CODICE FISCALE 
CODICE FISCALE   SQX5 E IZBA6UVR ,  DATI ANAGRAFICI ADAMOLO ADEMIO  POK 7O1O1915 F <START:City> AGOSTA <END>  PR CODICE FISCALE 
CODICE FISCALE  6IFC9   ASNQTL5R ,  DATI ANAGRAFICI ADDARIO ADRASTO  POK 2O43 1915 M <START:City> AGRA <END>  PV CODICE FISCALE 
CODICE FISCALE    LBFZ81YIX9  VK ,  DATI ANAGRAFICI ADDIEGO AGESILAO  POK O3 O46 1079 F <START:City> AGRATE BRIANZA <END>  PG CODICE FISCALE 
CODICE FISCALE  GJR5AW8LK PNMDEO ,  DATI ANAGRAFICI ADDO ALAN  POK 22031987 M <START:City> AGRATE CONTURBIA <END>  PU CODICE FISCALE 
CODICE FISCALE  NMUOF XE6WC8BIT  ,  DATI ANAGRAFICI ADDOBASSO ABONDIO  POK 04 02 1945 F <START:City> AGRIGENTO <END>  PE CODICE FISCALE 
CODICE FISCALE  N1 AZ9VD6GWJQFK  ,  DATI ANAGRAFICI ADDONE ADDARIO  POK 2605 1949 F <START:City> AGROPOLI <END>  PC CODICE FISCALE 
CODICE FISCALE   IX6  1YQWGCZNU8 ,  DATI ANAGRAFICI ADIMARI ADEMO  POK 6 O O O 2013 F <START:City> AGUGLIANO <END>  PI CODICE FISCALE 
CODICE FISCALE  FWZCR S6 POBNVQG ,  DATI ANAGRAFICI ADORATO ADREANO  POK O 9 0 O 3 O 2 5  M <START:City> AGUGLIARO <END>  PT CODICE FISCALE 
CODICE FISCALE  L E8MPBZDR9TOWJX ,  DATI ANAGRAFICI ADORNO AGGEO  POK 5O911903 F <START:City> AICURZIO <END>  PN CODICE FISCALE 
CODICE FISCALE   T8 IZMUL9VC  KF ,  DATI ANAGRAFICI ADRIALFI ALARICO  POK 1076 1918 F <START:City> AIDOMAGGIORE <END>  PZ CODICE FISCALE 
CODICE FISCALE  6JEPVKGSQUBYCN T ,  DATI ANAGRAFICI AEIARIO ABRAMINO  POK O08   12465O  M <START:City> AIDONE <END>  PO CODICE FISCALE 
CODICE FISCALE  X CT KQDGEU FAYI ,  DATI ANAGRAFICI AEQUAVIVA ADDIEGO  POK 10091930 F <START:City> AIELLI <END>  RG CODICE FISCALE 
CODICE FISCALE  QUT 5 ZICW  9 F1 ,  DATI ANAGRAFICI AFFATATO ADEO  POK 19 03 1938 M <START:City> AIELLO CALABRO <END>  RA CODICE FISCALE 
CODICE FISCALE  ISPDKZ BT 65AJ8G ,  DATI ANAGRAFICI AFFITTO ADRIANO  POK 2801 1991 M <START:City> AIELLO DEL FRIULI <END>  RC CODICE FISCALE 
CODICE FISCALE  ZJ CKLPTO M9A GS ,  DATI ANAGRAFICI AFFRANTI AGIDE  POK 8 1 6 8 2015 F <START:City> AIELLO DEL SABATO <END>  RE CODICE FISCALE 
CODICE FISCALE   Y FVUC ZWAM186L ,  DATI ANAGRAFICI AFFRONTO ALBANINO  POK 4 4 5 9 2 4 6 4  F <START:City> AIETA <END>  RI CODICE FISCALE 
CODICE FISCALE  Y E1 C S OK8RUQF ,  DATI ANAGRAFICI AFRICANO ABRAMO  POK 01521918 F <START:City> AILANO <END>  RN CODICE FISCALE 
CODICE FISCALE  N  5V WZSD R8H E ,  DATI ANAGRAFICI AGABITI ADDOLORATO  POK 5721 1907 M <START:City> AILOCHE <END>  RM CODICE FISCALE 
CODICE FISCALE  TAELRCKONXYZW BJ ,  DATI ANAGRAFICI AGAMENONE ADEODATO  POK 3 2 94O615O87 F <START:City> AIRASCA <END>  RO CODICE FISCALE 
CODICE FISCALE  E P S ZVXTC1QMY5 ,  DATI ANAGRAFICI AGATA ADRIO  POK 13021998 M <START:City> AIROLA <END>  SA CODICE FISCALE 
CODICE FISCALE  LKA N9SBGC6  MR  ,  DATI ANAGRAFICI AGATONE AGILULFO  POK 23 02 1957 M <START:City> AIROLE <END>  SS CODICE FISCALE 
CODICE FISCALE  YUMB5RAZOH9X JK6 ,  DATI ANAGRAFICI AGELLI ALBANO  POK 1301 1928 F <START:City> AIRUNO <END>  SV CODICE FISCALE 
CODICE FISCALE  TBO8U AW5ZCD  SJ ,  DATI ANAGRAFICI AGGARDATI ACCORSO  POK 0 2 5 7 2003 M <START:City> AISONE <END>  SI CODICE FISCALE 
CODICE FISCALE   KBS9QVM8XULGI T ,  DATI ANAGRAFICI AGILUFO ADDONIZIO  POK 7 O 3 O 4 3 8 7  M <START:City> ALA <END>  SR CODICE FISCALE 
CODICE FISCALE   G SN1QFJ IAZ5R6 ,  DATI ANAGRAFICI AGLI ADERITO  POK 567O1909 M <START:City> ALÀ DEI SARDI <END>  SO CODICE FISCALE 
CODICE FISCALE  QXRZEG5CB9F6 DM  ,  DATI ANAGRAFICI AGLIALORO ADUILIO  POK 199O 1911 F <START:City> ALA DI STURA <END>  TA CODICE FISCALE 
CODICE FISCALE   9CIYGB PH NFLWT ,  DATI ANAGRAFICI AGLIE AGNELLO  POK  9O 4837  0 F <START:City> ALAGNA <END>  TE CODICE FISCALE 
CODICE FISCALE  N6TU BW CEVD YO1 ,  DATI ANAGRAFICI AGLIETTA ALBERICO  POK 05031916 F <START:City> ALAGNA VALSESIA <END>  TR CODICE FISCALE 
CODICE FISCALE  HO  GY WSC91B 8V ,  DATI ANAGRAFICI AGLIETTI ACCURSIO  POK 16 03 1954 F <START:City> ALANNO <END>  TP CODICE FISCALE 
CODICE FISCALE  PBAX1W RJ8MVELK  ,  DATI ANAGRAFICI AGLIETTIE ADELAIDO  POK 1609 1960 F <START:City> ALANO DI PIAVE <END>  TN CODICE FISCALE 
CODICE FISCALE  6 AS M YRBV 1U L ,  DATI ANAGRAFICI AGLIONE ADERMO  POK O 6 7 0 2001 F <START:City> ALASSIO <END>  TV CODICE FISCALE 
CODICE FISCALE  B IK UXSR95C8V F ,  DATI ANAGRAFICI AGNELLI ADUINO  POK O O 9 6 6 1 O O  F <START:City> ALATRI <END>  TS CODICE FISCALE 
CODICE FISCALE   P BZ68FR LE9NGH ,  DATI ANAGRAFICI AGNELLO AGNESIO  POK 73O01912 F <START:City> ALBA <END>  TO CODICE FISCALE 
CODICE FISCALE  BNPHRL FGQ1D XWC ,  DATI ANAGRAFICI AGNESE ALBERIGO  POK 7396 1903 F <START:City> ALBA ADRIATICA <END>  UD CODICE FISCALE 
CODICE FISCALE  JI NKOZSQR6PG DL ,  DATI ANAGRAFICI AGNISIO ACCURSO  POK 9 805   341O F <START:City> ALBAGIARA <END>  VA CODICE FISCALE 
CODICE FISCALE  JHQ8 9CL6IM NBXG ,  DATI ANAGRAFICI AGNO ADELASIO  POK 22011962 M <START:City> ALBAIRATE <END>  VE CODICE FISCALE 
CODICE FISCALE  PFXZK8QB5CGA W1U ,  DATI ANAGRAFICI AGNOLILLO ADILIO  POK 27 06 1917 F <START:City> ALBANELLA <END>  VB CODICE FISCALE 
CODICE FISCALE  T JZ1HUFP YXC9V5 ,  DATI ANAGRAFICI AGNUSDEI ADUO  POK 1201 1913 M <START:City> ALBANO DI LUCANIA <END>  VC CODICE FISCALE 
CODICE FISCALE   9 VLOEY1WCM8K5G ,  DATI ANAGRAFICI AGO AGNOLO  POK 1 3 0 7 2007 M <START:City> ALBANO LAZIALE <END>  VR CODICE FISCALE 
CODICE FISCALE  VTUX RNDK9M6 CEI ,  DATI ANAGRAFICI AGOLANTE ALBERINO  POK 8 2 O 8 O 2 2 2  F <START:City> ALBANO SANT'ALESSANDRO <END>  VV CODICE FISCALE 
CODICE FISCALE  NILYAQCF5H81EV T ,  DATI ANAGRAFICI AGOLI ACHILLA  POK O0831910 M <START:City> ALBANO VERCELLESE <END>  VI CODICE FISCALE 
CODICE FISCALE  ZU9L T ASWBG N H ,  DATI ANAGRAFICI AGOSTA ADELCHI  POK 772O 1901 M <START:City> ALBAREDO ARNABOLDI <END>  VT CODICE FISCALE 
CODICE FISCALE  UINX B 5RFH 8P   ,  DATI ANAGRAFICI AGOSTI ADIMARO  POK  6938142 OO M <START:City> ALBAREDO D'ADIGE <END>  AG CODICE FISCALE 
CODICE FISCALE  GBLA 1SD6KN9OIXF ,  DATI ANAGRAFICI AGOSTINELLI AFFORTUNATO  POK 16071925 M <START:City> ALBAREDO PER SAN MARCO <END>  AL CODICE FISCALE 
CODICE FISCALE  DRQBV 68OG 5KPTE ,  DATI ANAGRAFICI AGOSTINI AGOSTINO  POK 22 11 1990 F <START:City> ALBARETO <END>  AN CODICE FISCALE 
CODICE FISCALE  98HG OEJ  RX6K W ,  DATI ANAGRAFICI AGOSTINO ALBERTINO  POK 1108 1963 F <START:City> ALBARETTO DELLA TORRE <END>  AO CODICE FISCALE 
CODICE FISCALE  W G16MV8J9 ECXFI ,  DATI ANAGRAFICI AGOSTO ACHILLE  POK O 7 4 4 2005 F <START:City> ALBAVILLA <END>  AR CODICE FISCALE 
CODICE FISCALE  9BUAQ LIHXMJZDFS ,  DATI ANAGRAFICI AGOZZINO ADELCHIO  POK 0 6 4 4 2 4 5 9  F <START:City> ALBENGA <END>  AP CODICE FISCALE 
CODICE FISCALE  SHILCMU9GF6Z RQV ,  DATI ANAGRAFICI AGRAMANTE ADIMIRO  POK OO331915 F <START:City> ALBERA LIGURE <END>  AT CODICE FISCALE 
CODICE FISCALE  UDAOSTI QF9HCJ   ,  DATI ANAGRAFICI AGRESTI AFRICANO  POK 8427 1918 F <START:City> ALBEROBELLO <END>  AV CODICE FISCALE 
CODICE FISCALE  GC  TK1 6A8JPRBH ,  DATI ANAGRAFICI AGRI AGRICOLA  POK O5 73 2O  946 M <START:City> ALBERONA <END>  BA CODICE FISCALE 
CODICE FISCALE  T GHXEI R QVA C  ,  DATI ANAGRAFICI AGRICOLA ALBERTO  POK 19041997 F <START:City> ALBESE CON CASSANO <END>  BT CODICE FISCALE 
CODICE FISCALE   ONJMI9GAPUXVQ61 ,  DATI ANAGRAFICI AGRIG ACHILLEO  POK 30 01 1941 F <START:City> ALBETTONE <END>  BL CODICE FISCALE 
CODICE FISCALE  EZ  QLPHS9X DMG8 ,  DATI ANAGRAFICI AGRIGNOLA ADELCO  POK 0505 1945 M <START:City> ALBI <END>  BN CODICE FISCALE 
CODICE FISCALE  O R1YJFGUA  T9IS ,  DATI ANAGRAFICI AGRILLO ADINO  POK 8 4 8 5 2007 F <START:City> ALBIANO <END>  BG CODICE FISCALE 
CODICE FISCALE   X C9KREMISG  N1 ,  DATI ANAGRAFICI AGRO AFRICO  POK 2 O 5 3 5 1 1 3  M <START:City> ALBIANO D'IVREA <END>  BI CODICE FISCALE 
CODICE FISCALE   ERXNDSHF PL5Y 1 ,  DATI ANAGRAFICI AGUGLIA AGRICOLO  POK 965O1902 M <START:City> ALBIATE <END>  BO CODICE FISCALE 
CODICE FISCALE  LZH8FT1N CM9VA5W ,  DATI ANAGRAFICI AGUGLIARO ALBINO  POK 6508 1906 F <START:City> ALBIDONA <END>  BZ CODICE FISCALE 
CODICE FISCALE  GF59 I1JWBCMD    ,  DATI ANAGRAFICI AGUIBSUE ACILIO  POK 9  01O O38 75 F <START:City> ALBIGNASEGO <END>  BS CODICE FISCALE 
CODICE FISCALE  PKUB CTE1 9G5MSJ ,  DATI ANAGRAFICI AGURBEUE ADELELMO  POK 14021965 F <START:City> ALBINEA <END>  BR CODICE FISCALE 
CODICE FISCALE  LM XJUHW65R  NIB ,  DATI ANAGRAFICI AHIANM ADINOLFO  POK 17 09 1901 M <START:City> ALBINO <END>  CA CODICE FISCALE 
CODICE FISCALE  WJ8E AQ6 91KSCMH ,  DATI ANAGRAFICI AIDONE AFRO  POK 1509 1992 M <START:City> ALBIOLO <END>  CL CODICE FISCALE 
CODICE FISCALE  ANMFS5P8GXYL 1T  ,  DATI ANAGRAFICI AIELLO AGRIPPINO  POK 7 9 1 4 2009 F <START:City> ALBISOLA SUPERIORE <END>  CB CODICE FISCALE 
CODICE FISCALE   JLXDY81G I95MW6 ,  DATI ANAGRAFICI AIMONE ALBIO  POK 3 9 7 4 9 5 9 O  F <START:City> ALBISSOLA MARINA <END>  CI CODICE FISCALE 
CODICE FISCALE  M5TUBIN FHOVGD Y ,  DATI ANAGRAFICI AINA ACQUISTO  POK O4O51907 F <START:City> ALBIZZATE <END>  CE CODICE FISCALE 
CODICE FISCALE   OXATZC 18DL9EIH ,  DATI ANAGRAFICI AIRLLO ADELFINO  POK 0532 1903 F <START:City> ALBONESE <END>  CT CODICE FISCALE 
CODICE FISCALE  QVM FAHDX1O6PU C ,  DATI ANAGRAFICI AIROLA ADIO  POK 406137 9 85 M <START:City> ALBOSAGGIA <END>  CZ CODICE FISCALE 
CODICE FISCALE  FDN WXJCE 8 T UO ,  DATI ANAGRAFICI AIUTAMICRISTO AFRODISIO  POK 03011998 M <START:City> ALBUGNANO <END>  CH CODICE FISCALE 
CODICE FISCALE  L VG WDQBS9TEC1O ,  DATI ANAGRAFICI AJALA AGRISIO  POK 14 04 1917 F <START:City> ALBUZZANO <END>  CO CODICE FISCALE 
CODICE FISCALE  R E1QHNA6 OBFCJZ ,  DATI ANAGRAFICI AJOLO ALBIONTE  POK 2903 1933 F <START:City> ALCAMO <END>  CS CODICE FISCALE 
CODICE FISCALE  S GI VUMCNLJ DAO ,  DATI ANAGRAFICI AJUTO ACRISIO  POK 7 1 7 2 2004 F <START:City> ALCARA LI FUSI <END>  CR CODICE FISCALE 
CODICE FISCALE  OQKZC9NMDV  LUI  ,  DATI ANAGRAFICI ALAGNA ADELFIO  POK 1 4 5 6 4 1 7 O  M <START:City> ALDENO <END>  KR CODICE FISCALE 
CODICE FISCALE  DH  8NJLPRK1XSAW ,  DATI ANAGRAFICI ALAIMO ADIUTO  POK OO541913 F <START:City> ALDINO <END>  CN CODICE FISCALE 
CODICE FISCALE  9OJU QGC5WHKVYA1 ,  DATI ANAGRAFICI ALAIRO AGABIO  POK 2659 1903 M <START:City> ALES <END>  EN CODICE FISCALE 
CODICE FISCALE   HCQAVR 5UD 1 X9 ,  DATI ANAGRAFICI ALAMANNO AGUINALDO  POK 8 1 2906 574 F <START:City> ALESSANDRIA <END>  FM CODICE FISCALE 
CODICE FISCALE  FONY8JRHX   VZIG ,  DATI ANAGRAFICI ALAMMI ALBIZIO  POK 09071914 F <START:City> ALESSANDRIA DEL CARRETTO <END>  FE CODICE FISCALE 
CODICE FISCALE  A E PMX R FGCJBK ,  DATI ANAGRAFICI ALAMPI   POK 14 02 1983 M <START:City> ALESSANDRIA DELLA ROCCA <END>  FI CODICE FISCALE 
CODICE FISCALE  EO NUIJA96 5GV8Q ,  DATI ANAGRAFICI ALANO ALBIZZO  POK 2206 1926 M <START:City> ALESSANO <END>  FG CODICE FISCALE 
